playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesLongSnap,gradesKickoffKicker,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter
90131,Joseph Vaughn,LB,1,0,2025,2025,324,,82.5,69.7,D30,0,0,1,0,0,3,6,4,2,1,UCLA,UCLA,15,,,,,,,
90160,Davis Salom,LS,0,0,,2025,285,61.6,64.8,63,S40,0,0,1,5,0,0,0,3,0,0,S JOSE ST,S JOSE ST,8,,78.7,,,,,
90192,Dalton Norris,DI,0,0,,2025,221,60,60.8,60.5,D95,0,0,1,4,0,0,0,0,0,0,MIAMI OH,MIAMI OH,4,,,,,,,
90224,Reymello Murphy,WR,0,0,,2026,109,,62.4,71,00,0,0,1,0,0,6,5,3,5,0,ARIZONA,ARIZONA,19,,,,,,,
90279,Nilay Upadhyayula,LS,0,0,,2026,268,,79.7,63,S47,0,0,1,0,0,0,0,3,0,1,PITTSBURGH,PITTSBURGH,3,,80.2,,,,,
90613,Skylar Loving-Black,TE,0,0,,2025,285,60,61.1,61.4,86,0,0,1,5,0,0,0,0,0,0,S JOSE ST,S JOSE ST,5,,,,,,,
90626,Beau Gardner,LS,0,0,2026,2026,173,61.6,64.8,63,S60,0,0,1,5,0,0,0,3,0,0,GEORGIA,GEORGIA,8,,78.7,,,,,
90783,Tyrice Ivy Jr.,S,0,0,,2026,265,,61.9,68.2,D12,0,0,1,0,1,3,5,0,2,0,OREGON ST,OREGON ST,11,60,,,,,,
97061,Josh Kelly,WR,0,0,2025,2025,315,,60,63,03,0,0,1,0,0,0,1,0,0,0,TEXAS TECH,TEXAS TECH,1,,,,,,,
97105,Cam Ross,WR,0,0,2026,2026,197,,60,61.2,01,0,0,1,0,0,0,1,0,0,0,JAMES MAD,JAMES MAD,1,,,,61.8,,,
97125,Jacquez Stuart,HB,0,0,,2025,316,,60,62.2,00,0,0,1,0,0,0,5,0,0,0,TOLEDO,TOLEDO,5,,,,58.4,,,
97127,Samario Rudolph,WR,0,0,,2026,196,,60,63.6,03,0,0,1,0,0,0,0,0,4,0,JVILLE ST,JVILLE ST,4,,,,,54.2,,
97141,Antavious Lane,S,0,0,,2025,245,,60.2,61.6,D01,0,0,1,0,6,0,0,0,0,0,N CAROLINA,N CAROLINA,6,60.2,,,,,,
97143,Bralyn Lux,CB,0,0,2025,2025,315,,60,61.3,D00,0,0,1,0,4,0,0,0,0,0,TEXAS TECH,TEXAS TECH,4,60,,,,,,
97151,Michael Hayes,K,0,0,,2025,343,,60.5,68.2,S22,1,0,1,6,0,7,0,0,0,0,W VIRGINIA,W VIRGINIA,13,,,58.2,,,67.4,
97155,Jacob Barnes,K,0,0,,2026,319,,60,62.9,S35,0,0,1,3,0,0,0,0,0,0,TULANE,TULANE,3,,,,,,61.8,
97188,Dante Wright,WR,0,0,,2025,306,,60.1,66.1,05,0,0,1,0,0,0,0,2,7,0,TEMPLE,TEMPLE,9,,,,,28.7,,
97200,Ulysses Bentley IV,HB,0,0,2025,2025,226,,60,61.6,24,0,0,1,0,0,0,2,0,0,0,OLE MISS,OLE MISS,2,,,,59.4,,,
97211,Christian Dremel,WR,0,0,,2025,278,,60.2,64.1,80,0,0,1,0,0,0,3,0,7,0,RUTGERS,RUTGERS,10,,,,58.9,62.7,,
97213,Taylor Morin,WR,0,0,2025,2025,339,,60,63.6,02,0,0,1,0,0,0,0,0,4,0,WAKE,WAKE,4,,,,,63.8,,
97218,Jacob Bernard,WR,0,0,,2025,207,,60,64.3,04,0,0,1,0,0,0,0,0,7,0,LA LAFAYET,LA LAFAYET,7,,,,,65.5,,
97220,Anthony Wilson,S,0,0,,2025,343,,60.4,64.7,D12,0,0,1,0,1,2,0,0,0,0,W VIRGINIA,W VIRGINIA,3,60,,,,,,
97225,Brandon Crossley,CB,0,0,2025,2025,287,,60.1,66.7,D01,0,0,1,0,5,0,0,0,2,0,SMU,SMU,7,59.7,,,,,,
97230,Marcus Harris,CB,0,0,2025,2025,130,,61.4,67.6,D05,0,0,1,0,5,3,0,0,4,0,CAL,CAL,12,59.9,,,,,,
97243,Isaiah Essissima,CB,0,0,,2025,144,,62.1,66.3,D01,0,0,1,0,1,0,0,0,4,0,COLO STATE,COLO STATE,5,59.9,,,,,,
97257,Will Goldberg,S,0,0,,2025,154,,60,64.5,D35,0,0,1,0,0,0,0,0,1,0,DUKE,DUKE,1,,,,,,,
97274,Dywan Griffin,CB,0,0,,2025,263,,60.3,65.6,D23,0,0,1,0,4,0,0,0,0,0,DOMINION,DOMINION,4,59.8,,,,,,
97278,Javon Harvey,WR,0,0,,2025,154,,61.9,68.8,07,0,0,1,0,0,0,0,0,4,0,DUKE,DUKE,4,,,,,,,
97287,Trevor Wilson,WR,0,0,,2025,198,,60,63.2,07,0,0,1,0,0,0,4,0,2,0,KANSAS,KANSAS,6,,,,58.7,61,,
97308,Jerjuan Newton,WR,0,0,2025,2025,316,,59.9,65.9,01,0,0,1,0,0,0,5,0,0,0,TOLEDO,TOLEDO,5,,,,,,,
97310,Deion Hankins,HB,0,0,2025,2025,314,,62.2,71,33,0,0,1,0,0,0,0,0,4,0,TEXAS ST,TEXAS ST,4,,,,,,,
97330,Juan Powell,CB,0,0,,2025,141,,60.4,62.1,D00,0,0,1,0,3,0,0,0,1,0,COAST CAR,COAST CAR,4,60,,,,,,
97343,AJ Williams,S,0,0,,2025,141,,59.9,64.3,D07,0,0,1,0,2,0,0,3,1,0,COAST CAR,COAST CAR,6,60,,,,,,
97351,Jakeen Harris,S,0,0,,2025,245,,59.7,64.7,D02,0,0,1,0,5,0,0,3,0,0,N CAROLINA,N CAROLINA,8,60,,,,,,
97353,Coco Azema,S,0,0,,2025,256,,59.9,62.2,D00,0,0,1,0,7,0,0,0,0,0,NWESTERN,NWESTERN,7,59.8,,,,,,
97423,Jake Smith,WR,0,0,,2025,110,,60.4,62.9,08,0,0,1,0,0,1,6,0,0,0,ARIZONA ST,ARIZONA ST,7,,,,57.4,,,
97427,Devin Voisin,WR,0,0,,2026,288,,60,66.1,01,0,0,1,0,0,0,6,0,1,0,S ALABAMA,S ALABAMA,7,,,,59.9,60.3,,
97433,Trey Sanders,HB,0,0,,2025,305,,61.3,64.3,02,0,0,1,0,0,4,0,0,0,0,TCU,TCU,4,,,,,,,
97453,Luis Cristobal Jr.,G,0,0,,2025,220,60,61,62.9,52,0,0,1,5,0,0,0,0,0,0,MIAMI FL,MIAMI FL,5,,,,,,,
97468,Trevon Booker,CB,0,0,,2025,136,,38.3,28.5,D20,1,1,1,0,1,10,0,3,6,0,CHARLOTTE,CHARLOTTE,20,59.9,,,,,,
97473,Kerry Martin Jr.,S,0,0,,2025,248,,61.6,71.4,D19,0,0,1,0,0,0,7,0,3,0,NC STATE,NC STATE,10,,,,,,,
97483,Dallas Gamble,CB,0,0,,2025,288,,60.7,64.3,D04,0,0,1,0,0,2,0,0,1,0,S ALABAMA,S ALABAMA,3,,,,,,,
97497,Dane Motley,LB,0,0,,2025,113,,60,63.2,D23,0,0,1,0,0,0,0,1,0,0,ARK STATE,ARK STATE,1,,,,,,,
97506,Jaden Voisin,S,0,0,,2025,288,,63.5,63,D02,0,0,1,0,4,1,0,0,0,0,S ALABAMA,S ALABAMA,5,59.9,,,,,,
97520,Malik Dixon-Williams,S,0,0,2025,2025,146,,60.6,65.1,D01,0,0,1,0,5,0,0,1,2,0,UCONN,UCONN,8,59.9,,,,,,
97541,Chad Stephens,ED,0,0,,2025,156,,59.6,63,D03,0,0,1,0,3,0,0,0,0,0,E CAROLINA,E CAROLINA,3,59.4,,,,,,
97543,Jett Elad,S,0,0,,2026,325,,60.8,67.6,D09,0,0,1,0,1,0,0,2,2,0,UNLV,UNLV,5,59.9,,,,,,
97545,Jackson Barrow,LB,0,0,,2025,316,,60.7,63.4,D05,0,0,1,0,4,0,1,0,1,0,TOLEDO,TOLEDO,6,60,,,61.8,,,
97546,Dorian Jones,LB,0,0,,2026,335,,60.4,67.1,D44,0,0,1,0,0,0,3,0,0,0,VIRGINIA,VIRGINIA,3,,,,,,,
97566,Jeff Clark,DI,0,0,,2025,110,,60.2,64.1,D05,0,0,1,0,2,0,0,0,1,0,ARIZONA ST,ARIZONA ST,3,59.5,,,,,,
97578,Everett Hayes,K,0,0,,2025,265,,60.1,67.4,S35,0,0,1,5,0,5,0,0,0,0,OREGON ST,OREGON ST,10,,,73.4,,,72.9,
97585,Ethan Hudak,LS,0,0,,2025,319,32.6,44.5,62.8,S57,0,0,1,11,0,0,0,2,0,0,TULANE,TULANE,13,,0,,,,,
97589,Ivan Mora,P,0,0,,2025,339,60,60.8,64.7,S36,0,0,1,6,0,0,0,3,0,0,WAKE,WAKE,9,,,,,,,54.3
97609,Damari Roberson,S,0,0,,2025,347,,59.8,61.9,D04,0,0,1,0,4,0,0,0,0,0,W MICHIGAN,W MICHIGAN,4,59.8,,,,,,
97675,Terry Jones,CB,0,0,,2025,190,,63.3,66.7,D12,0,0,1,0,1,8,0,0,3,0,INDIANA,INDIANA,12,60,,,,,,
97684,Trey Rucker,S,0,0,2025,2025,262,,60,61.9,D09,0,0,1,0,4,0,0,0,0,0,OKLA STATE,OKLA STATE,4,59.9,,,,,,
97701,Nalu Emerson,LB,0,0,,2025,180,,61,63.1,D11,0,0,1,0,6,3,0,0,0,0,HAWAII,HAWAII,9,60,,,,,,
97703,M.J. Griffin,S,0,0,,2025,210,,60.8,65.7,D26,0,0,1,0,7,0,0,2,2,0,LOUISVILLE,LOUISVILLE,11,59.9,,,,,,
97704,Matt Salopek,LB,0,0,,2025,221,,59.9,65.2,D15,0,0,1,0,6,1,0,3,0,0,MIAMI OH,MIAMI OH,10,59.8,,,,,,
97715,Dylan Downing,LB,0,0,,2025,198,,60.3,68,D32,0,0,1,0,0,6,6,0,2,0,KANSAS,KANSAS,14,,,,59.9,,,
97730,Dorian Hopkins,LB,0,0,,2025,330,,60.3,62.6,D41,0,0,1,0,6,0,0,0,1,0,UTEP,UTEP,7,59.8,,,,,,
97750,Marley Cook,DI,0,0,,2025,220,,60,62.7,D57,0,0,1,0,1,0,0,0,0,0,MIAMI FL,MIAMI FL,1,59.8,,,,,,
97777,Raymond Cutts,ED,0,0,,2025,318,,60.3,64.4,D00,0,0,1,0,3,0,0,0,0,0,TROY,TROY,3,60.1,,,,,,
97792,Torry Locklin,WR,0,0,,2025,198,,61.2,69.4,12,0,0,1,0,0,5,6,4,2,0,KANSAS,KANSAS,17,,,,,,,
97798,Jonah Panoke,WR,0,0,,2025,180,,62.3,68.5,01,0,0,1,0,0,0,6,0,4,0,HAWAII,HAWAII,10,,,,,,,
97822,Jack Martin,K,0,0,,2025,182,,60.5,68.2,S41,0,0,1,6,0,7,0,0,0,0,HOUSTON,HOUSTON,13,,,64.2,,,69.5,
97863,Todd Justice,TE,0,0,,2025,288,60,57.9,65.6,86,0,0,1,2,0,0,6,5,0,0,S ALABAMA,S ALABAMA,13,,,,59.9,,,
97881,Jamal Morris,LB,0,0,,2025,182,,60,61.1,D25,0,0,1,0,1,0,0,0,1,0,HOUSTON,HOUSTON,2,60,,,,,,
97882,Prince Wallace-Bemah,LB,0,0,,2025,136,,60.6,65,D25,0,0,1,0,3,0,0,1,2,0,CHARLOTTE,CHARLOTTE,6,59.6,,,,,,
97883,Gavin Potter,LB,0,0,,2025,320,,60.9,66.2,D19,0,0,1,0,5,0,1,0,1,0,TULSA,TULSA,7,60,,,,,,
97892,Lama Lavea,DI,0,0,,2025,102,,60,64.6,D05,0,0,1,0,5,0,0,5,0,0,AKRON,AKRON,10,59.4,,,,,,
