playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesPassRushDefense
174545,Mitchell Garner,ED,6,0,,0,2,50,RHODE ISLD,3,D44,23,9,0,17,1,2028,48,31.3,24,3,47.7,1,0,21,0,0,0,53.1,0,0,0,0,RHODE ISLD,1,0,1,0,11,14,40,49.1,8,82.4,0,274,71,9,0,0,100,33,0,0,0,1,48,54.5
174550,Case Mankins,DI,0,0,,0,1,,RHODE ISLD,2,D97,0,0,0,39,1,2028,72,75.7,0,0,,2,0,0,10,1,0,79.9,0,1,1,0,RHODE ISLD,2,0,3,0,,0,20,67,,5.8,0,274,72,0,38,0,0,33,0,2,0,0,23,54.2
174551,Ethan McCann-Carter,CB,2,0,,0,0,0,RHODE ISLD,1,D35,26,5,0,0,1,2028,1,74.8,0,0,39.6,0,0,17,0,0,0,65.2,1,0,1,0,RHODE ISLD,0,0,0,0,,20,0,44.1,,75.6,0,274,27,0,0,0,39.6,10,0,0,0,0,1,
174553,Moses Meus,LB,4,0,,0,1,75,RHODE ISLD,5,D53,46,42,0,10,1,2028,3,71.1,32,3,52.6,0,0,23,0,0,0,69.9,0,0,1,0,RHODE ISLD,4,0,0,0,12,4,11.1,54.7,10.7,0,0,274,49,5,0,0,137.5,16,0,3,0,1,3,57.4
175064,Bennett Walker,CB,6,0,,0,1,33.3,N DAKOTA,2,D10,57,6,0,0,1,2026,0,47.4,10,2,78.2,0,1,29,0,0,0,56.5,51,0,0,0,N DAKOTA,1,0,0,0,7,0,25,74.3,5,75.6,0,249,57,0,0,2,2.8,28,0,1,0,0,0,
175066,Ke'Vion Wellington,DI,0,0,,0,0,,MERCER,0,D98,0,0,0,0,1,2028,4,,0,0,,0,0,0,0,0,0,52.7,0,0,0,0,MERCER,0,0,0,0,,0,,39.4,,68.2,0,219,4,0,4,0,0,4,0,0,0,0,0,
175761,Caleb Otlewski,ED,3,0,,0,0,66.7,MONTANA,5,D45,34,34,0,12,1,2028,22,82.2,34,2,62.7,1,0,22,0,0,0,73.1,0,0,1,0,MONTANA,3,0,1,0,19,0,0,65.6,17,0,0,232,56,9,0,1,104.9,22,0,2,0,0,22,62.6
175972,Prince Ford,CB,5,0,,0,0,60,MONTANA,1,D06,23,3,0,1,1,2026,0,74.2,139,3,49.9,0,0,16,0,0,0,60.5,20,0,0,0,MONTANA,1,0,0,0,95,0,0,49.8,46.3,73.5,0,232,23,80,0,1,143.8,6,0,0,0,1,0,55.4
176305,Marius Landsfeld,DI,0,0,,0,0,,MERCER,1,D94,0,0,0,0,1,2028,6,70.2,0,0,,0,0,0,0,0,0,61.9,0,0,0,0,MERCER,1,0,0,0,,0,0,62.8,,69.6,0,219,6,0,6,0,0,6,0,0,0,0,0,
176765,Tayden Gray,S,3,0,,0,1,0,MONTANA ST,1,D07,53,7,0,0,1,2028,0,37,0,0,64.6,0,1,29,0,0,0,60,2,0,0,0,MONTANA ST,0,0,0,0,,35,33.3,63.8,,79.1,0,233,53,0,0,0,0,24,0,1,9,0,0,
176766,Bryce Grebe,LB,3,0,,0,2,33.3,MONTANA ST,5,D10,62,53,0,4,1,2028,2,47.4,11,1,62.5,1,0,31,0,0,0,69.6,1,1,0,0,MONTANA ST,3,0,2,0,11,8,20,68.3,11,75.8,0,233,64,7,0,0,45.1,29,0,3,0,0,2,67.6
176772,Talon Marsh,DI,0,0,,0,0,,MONTANA ST,2,D99,0,0,0,9,1,2028,20,72.2,0,0,,0,0,0,0,1,0,71.5,0,0,0,0,MONTANA ST,2,0,0,0,,0,0,69.8,,73.3,0,233,20,0,19,0,0,11,0,0,0,0,0,57.7
176774,Colter Petre,S,2,0,,0,0,100,MONTANA ST,2,D24,11,1,0,0,1,2028,0,79.6,57,2,30.8,0,0,6,0,0,0,65.5,0,0,0,0,MONTANA ST,2,0,0,0,38,3,0,39.5,28.5,72.4,0,233,11,13,0,0,118.8,5,0,0,7,0,0,
176777,Hunter Sharbono,DI,0,0,,0,0,,MONTANA ST,0,D90,0,0,0,3,1,2028,6,,0,0,,0,0,0,0,0,0,60.6,0,0,0,0,MONTANA ST,0,0,0,0,,0,,61,,69.6,0,233,6,0,6,0,0,3,0,0,0,0,0,59.5
176779,Cole Taylor,LB,7,0,,0,2,71.4,MONTANA ST,10,D34,76,65,0,4,1,2028,0,60.5,62,5,60.2,0,1,36,0,0,0,48.7,0,0,0,0,MONTANA ST,2,0,0,0,25,10,13.3,53.8,12.4,75,0,233,76,38,0,0,98.5,36,0,3,1,1,0,56.4
176843,Nick Afato,LB,0,0,,0,0,,UC DAVIS,0,D44,12,12,0,0,1,2028,0,,0,0,63.7,0,0,12,0,0,0,,0,0,0,0,UC DAVIS,0,0,0,0,,0,,65,,71.4,0,322,12,0,0,0,0,0,0,0,0,0,0,
176845,Trent Carrade,DI,0,0,,0,0,,UC DAVIS,1,D90,0,0,0,25,1,2028,44,69.7,0,0,60,0,0,0,12,0,0,65,0,0,0,0,UC DAVIS,0,0,0,0,,0,0,59.3,,75.8,0,322,44,0,29,0,0,19,0,0,0,0,3,52.5
176848,William Fowler,S,1,0,,0,0,100,UC DAVIS,0,D12,12,3,0,0,1,2028,0,,4,1,56.4,0,0,12,0,0,0,,0,0,0,0,UC DAVIS,0,0,0,0,4,5,,56.6,4,72.6,0,322,12,0,0,0,122.9,0,0,0,4,1,0,
176850,Sam Goligoski,ED,1,0,,0,3,100,UC DAVIS,2,D31,10,9,2,20,1,2028,36,28.2,1,1,54.9,1,0,9,0,0,0,59.8,0,0,0,0,UC DAVIS,4,0,3,0,1,1,50,58.7,1,79.7,0,322,46,5,0,0,79.2,17,1,1,0,0,36,61.1
176863,Boston Stovall,CB,1,0,,0,0,100,UC DAVIS,0,D19,6,0,0,0,1,2028,0,73.5,33,1,51.7,0,0,6,0,0,0,,5,0,0,0,UC DAVIS,0,0,0,0,33,1,0,50.9,33,69.6,0,322,6,9,0,0,118.8,0,0,1,0,0,0,
177112,Patrick Bauer,LB,0,0,,0,0,,ILL STATE,1,D13,10,0,0,8,1,2028,23,74.7,0,0,64.3,0,0,10,0,0,0,67.5,0,1,0,0,ILL STATE,1,0,1,0,,10,0,67.8,,80.5,0,188,33,0,0,0,0,15,0,1,0,0,23,61.4
177114,Anthony Corona,LB,0,0,,0,0,,ILL STATE,0,D35,4,4,0,0,1,2028,0,,0,0,60,0,0,1,0,0,0,55.6,0,0,0,0,ILL STATE,0,0,0,0,,0,,52,,66.3,0,188,4,0,0,0,0,3,0,0,0,0,0,
177124,Travis Jones,DI,0,0,,0,0,,ILL STATE,0,D92,0,0,0,9,1,2028,13,,0,0,,1,0,0,8,0,0,61.5,0,0,0,0,ILL STATE,0,0,1,0,,0,,62.4,,71.4,0,188,13,0,5,0,0,4,0,0,0,0,0,60.6
177126,Solomon Oduma,ED,0,0,,0,0,,ILL STATE,0,D39,2,1,0,1,1,2028,5,73,0,0,60,0,0,0,0,0,0,54.4,0,0,0,0,ILL STATE,0,0,0,0,,1,0,54.7,,72.5,0,188,7,0,0,0,0,6,0,1,0,0,5,60
