playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesKickoffKicker,gradesFgepKicker,gradesKickReturn,gradesPunter,gradesLongSnap
177120,Hayden Futch,K,0,0,,2028,188,60,60.5,65.3,S41,0,0,1,3,0,0,0,3,0,0,ILL STATE,ILL STATE,6,,,,,,61,
177121,Mark Haering,LB,0,0,,2028,188,,60.3,69.5,D47,0,0,1,0,0,0,5,0,5,0,ILL STATE,ILL STATE,10,,,,,,,
177123,Brayden Jellison,G,0,0,,2028,188,60,61,61.8,66,0,0,1,3,0,0,0,0,0,0,ILL STATE,ILL STATE,3,,,,,,,
177124,Travis Jones,DI,0,0,,2028,188,,60,65.6,D92,0,0,1,0,0,0,0,0,2,0,ILL STATE,ILL STATE,2,,,,,,,
177125,Nate Kraus,LB,1,0,,2027,188,,68.9,66.6,D48,0,0,1,0,0,5,0,0,0,0,ILL STATE,ILL STATE,5,,,,,,,
177126,Solomon Oduma,ED,0,0,,2028,188,,37.3,67.9,D39,0,0,1,0,1,5,0,0,3,0,ILL STATE,ILL STATE,9,60,,,,,,
177129,Brady Probst,TE,0,0,,2028,188,60,62.1,67,86,0,0,1,3,0,0,5,3,5,0,ILL STATE,ILL STATE,16,,,,,,,
177131,Evan Sierra,S,0,0,,2028,188,,60.9,68.2,D18,0,0,1,0,0,5,0,2,0,0,ILL STATE,ILL STATE,7,,,,,,,
177132,Jamarcus Smith,LB,0,0,,2028,188,,60.7,68.3,D00,0,0,1,0,0,0,5,0,0,0,ILL STATE,ILL STATE,5,,,,,,,
177134,Chris Taylor,CB,0,0,,2028,188,,74,64.3,D28,0,0,1,0,0,3,5,0,0,0,ILL STATE,ILL STATE,8,,,,,59.4,,
177135,Ben Wallace,T,0,0,,2028,188,60,60.8,66.5,78,0,0,1,3,0,0,0,0,0,0,ILL STATE,ILL STATE,3,,,,,,,
177146,Ben Buxa,C,0,0,,2028,249,,60.3,63.1,62,0,0,1,0,0,0,0,5,0,0,N DAKOTA,N DAKOTA,5,,,,,,,
177148,Logyn Eckheart,DI,0,0,,2028,249,,59.6,63.2,D97,0,0,1,0,3,0,0,0,0,0,N DAKOTA,N DAKOTA,3,59.5,,,,,,
177149,Tyler Erkman,S,0,0,,2028,249,,61,70.4,D09,0,0,1,0,0,3,7,5,5,0,N DAKOTA,N DAKOTA,20,,,,,,,
177163,Lance Rucker,ED,0,0,,2028,249,,59.5,64.1,D00,0,0,1,0,3,0,0,0,1,0,N DAKOTA,N DAKOTA,4,59,,,,,,
177166,Sawyer Seidl,HB,0,0,,2028,249,,59.5,62.4,09,0,0,1,0,0,0,7,0,0,0,N DAKOTA,N DAKOTA,7,,,,,59.1,,
177167,Korey Tai,WR,0,0,,2028,249,,59.4,62.9,15,0,0,1,0,0,0,7,0,0,0,N DAKOTA,N DAKOTA,7,,,,,63.5,,
177168,Kaden Vig,ED,0,0,,2028,249,,60,64.7,D13,0,0,1,0,3,0,0,0,1,0,N DAKOTA,N DAKOTA,4,59.3,,,,,,
177185,Grant Chapman,G,0,0,,2028,291,60,62,67.6,72,0,0,1,8,0,0,0,3,0,0,S DAKOTA,S DAKOTA,11,,,,,,,
177187,Larenzo Fenner,WR,0,0,,2028,291,,60,63.3,01,0,0,1,0,0,0,0,1,0,0,S DAKOTA,S DAKOTA,1,,,,,,,
177191,Gabriel Hardman,LB,0,0,,2028,291,,60,63.7,D03,0,0,1,0,0,0,0,0,2,0,S DAKOTA,S DAKOTA,2,,,,,,,
177198,Jesse Miller,TE,0,0,,2028,291,60.8,61.6,60.9,83,0,0,1,8,0,0,0,0,0,0,S DAKOTA,S DAKOTA,8,,,,,,,
177201,Jack Rons,G,0,0,,2028,291,60,61.4,66.3,56,0,0,1,4,0,0,0,0,0,0,S DAKOTA,S DAKOTA,4,,,,,,,
177205,Roman Tillmon,S,0,0,,2028,291,,60.1,64.1,D01,0,0,1,0,0,0,0,0,2,0,S DAKOTA,S DAKOTA,2,,,,,,,
177213,Andrew Gustad,FB,0,0,,2027,292,,60,64.6,43,0,0,1,0,0,1,0,0,0,0,S DAK ST,S DAK ST,1,,,,,,,
177217,Jackson Kerstin,G,0,0,,2029,292,60,60.3,61.6,58,0,0,1,3,0,0,0,0,0,0,S DAK ST,S DAK ST,3,,,,,,,
177221,William Paepke,G,0,0,,2029,292,60,61.1,65.7,77,0,0,1,3,0,0,0,0,0,0,S DAK ST,S DAK ST,3,,,,,,,
177225,Noah St-Juste,CB,0,0,,2029,292,,60.4,68.3,D16,0,0,1,0,0,4,0,5,0,0,S DAK ST,S DAK ST,9,,,,,,,
177230,Nick Wells,ED,0,0,,2029,292,,60.1,63,D50,0,0,1,0,2,0,0,0,0,0,S DAK ST,S DAK ST,2,60,,,,,,
