playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
184723,Jonathan Young,T,0,,2027,218,,63.4,66.9,,,69.2,68,0,1,0,0,0,0,3,3,0,3,MEMPHIS,MEMPHIS,,
184725,Fame Ijeboi,HB,0,,2030,225,65.5,64,64.5,,,,26,0,1,0,0,0,2,0,2,0,2,MINNESOTA,MINNESOTA,62.9,
184726,Julian Johnson,TE,0,,2029,225,,55.8,66.6,,,55.7,82,0,1,0,0,0,0,4,4,0,4,MINNESOTA,MINNESOTA,,
184727,Drake Lindsey,QB,0,,2029,225,64.2,71.5,73.2,,58.8,60,03,0,4,6,0,2,0,12,20,8,12,MINNESOTA,MINNESOTA,57.3,78.1
184729,Nathan Roy,T,0,,2029,225,,63.2,72.5,49.1,,65,50,0,2,0,8,0,0,12,20,8,12,MINNESOTA,MINNESOTA,,
184730,Jacob Simpson,TE,0,,2029,225,,35.3,66.9,,35.1,60,88,0,1,0,0,2,0,1,3,2,1,MINNESOTA,MINNESOTA,,
184742,Dillon Hipp,TE,0,,2029,226,,59.9,73.4,67.9,55.9,64.4,88,0,2,0,1,3,0,7,11,4,7,OLE MISS,OLE MISS,,
184749,Noreel White,WR,0,,2029,226,62.9,73.4,74.7,,72.1,60.9,81,0,2,0,0,8,0,10,18,8,10,OLE MISS,OLE MISS,,
184751,Stonka Burnside,WR,0,,2029,227,61,46.6,0,,43.7,80.6,05,1,9,0,0,49,0,38,87,49,38,MISS STATE,MISS STATE,,
184754,Mario Craver,WR,0,,2029,227,72.2,67.3,55,,66.7,56.4,07,2,9,0,0,226,4,149,379,226,153,MISS STATE,MISS STATE,73.6,
