playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesKickReturn
100806,Jeremiah Byers,T,0,0,2025,2025,167,60.6,65.6,63,0,0,1,3,0,0,0,0,0,0,FLORIDA ST,FLORIDA ST,3,60,,,,,,,
101308,Davaughn Celestine,S,0,0,,2026,287,60,70,D25,0,0,1,0,0,4,3,0,3,0,SMU,SMU,10,,,,,,,,
101424,Anthony Booker Jr.,DI,0,0,2025,2025,287,60,64.6,D10,0,0,1,0,2,0,0,0,1,0,SMU,SMU,3,,59.3,,,,,,
102637,Jaden Smith,WR,0,0,2025,2025,239,60,64.4,01,0,0,1,0,0,0,0,0,2,0,NEVADA,NEVADA,2,,,,,,,,
104082,Marcus Bellon,WR,0,0,,2026,239,60,63.2,18,0,0,1,0,1,0,0,0,3,0,NEVADA,NEVADA,4,,,,,,64.5,,
109374,Jackson Hawes,TE,0,0,2025,2025,176,60.6,64.5,85,0,0,1,5,0,0,4,0,0,0,GA TECH,GA TECH,9,60,,,,,,,
121916,Will Benton IV,LS,0,0,,2026,287,29.6,63,S48,1,0,1,4,0,0,0,3,0,0,SMU,SMU,7,60,,,,,,0,
122222,Elijah Roberts,ED,0,0,2025,2025,287,60.2,64.3,D05,0,0,1,0,4,0,0,0,1,0,SMU,SMU,5,,59.6,,,,,,
122397,Ja'Khi Douglas,WR,0,0,,2025,167,60.2,65.6,00,0,0,1,0,0,0,0,1,1,0,FLORIDA ST,FLORIDA ST,2,,,,,,,,
122405,DJ Lundy,LB,0,0,,2025,167,60,62.9,D10,0,0,1,0,1,0,0,0,0,0,FLORIDA ST,FLORIDA ST,1,,60,,,,,,
122406,Alex Mastromanno,P,0,0,,2025,167,60.4,64.4,S29,0,0,1,3,0,0,0,2,0,0,FLORIDA ST,FLORIDA ST,5,60,,60,,,,,
122411,Kentron Poitier,WR,0,0,,2025,167,59.9,64.1,01,0,0,1,0,0,0,0,0,1,0,FLORIDA ST,FLORIDA ST,1,,,,,,,,
122421,Lawrance Toafili,HB,0,0,2025,2025,167,60,64.4,09,0,0,1,0,0,0,0,1,0,0,FLORIDA ST,FLORIDA ST,1,,,,,,,,
122425,Darion Williamson,WR,0,0,,2026,167,60.2,67.2,21,0,0,1,0,1,0,0,0,2,0,FLORIDA ST,FLORIDA ST,3,,59.8,,,,,,
122470,LaMiles Brooks,S,0,0,,2025,176,60.2,63.8,D01,0,0,1,0,2,0,0,0,1,0,GA TECH,GA TECH,3,,60,,,,,,
122473,Henry Freer,LS,0,0,,2025,176,51.1,62.7,S46,1,0,1,5,0,0,0,2,0,0,GA TECH,GA TECH,7,61.6,,,,,,53.7,
122491,Jason Moore,DI,0,0,,2026,176,60.1,61.5,D95,0,0,1,0,0,0,0,2,0,0,GA TECH,GA TECH,2,,,,,,,,
122503,Jordan Williams,T,0,0,2025,2025,176,61.5,67.8,54,0,0,1,5,0,0,0,0,0,0,GA TECH,GA TECH,5,60,,,,,,,
122916,Nate Anderson,G,0,0,,2026,287,60.9,63,69,0,0,1,4,0,0,0,3,0,0,SMU,SMU,7,60,,,,,,,
123020,Jahvante Royal,CB,0,0,,2026,241,60.5,66.5,D27,0,0,1,0,2,0,0,0,1,0,NEW MEXICO,NEW MEXICO,3,,60,,,,,,
123111,Kitan Crawford,S,0,0,2025,2025,239,50.7,28.2,D04,0,1,1,0,4,5,4,6,1,0,NEVADA,NEVADA,20,,59.9,,,,,,58.4
123112,Moochie Dixon,WR,0,0,2025,2025,287,57,66.1,05,1,0,1,0,0,0,0,3,0,0,SMU,SMU,3,,,,,,,,
123125,Logan Parr,G,0,0,,2026,287,61.4,62,71,0,0,1,4,0,0,0,0,0,0,SMU,SMU,4,60,,,,,,,
123160,Cameron Watts,CB,0,0,,2025,241,61.4,69.2,D18,0,0,1,0,5,0,6,0,2,0,NEW MEXICO,NEW MEXICO,13,,59.9,,,,,,
123830,Elijah Robinson,ED,0,0,,2026,180,33.9,25.5,D00,0,1,1,0,2,3,3,0,0,0,HAWAII,HAWAII,8,,59.9,,,,,,
123988,Romello Height,ED,0,0,2026,2026,176,59.7,62.4,D09,0,0,1,0,2,0,0,0,0,0,GA TECH,GA TECH,2,,59.5,,,,,,
124001,Cam Riley,LB,0,0,2025,2025,167,61.2,64.3,D18,0,0,1,0,5,4,0,0,1,0,FLORIDA ST,FLORIDA ST,10,,59.9,,,,,,
124255,Makius Scott,DI,0,0,,2025,176,59.2,63.3,D08,0,0,1,0,3,0,0,0,0,0,GA TECH,GA TECH,3,,59.1,,,,,,
124394,Jahari Rogers,CB,0,0,,2026,287,61.3,67.4,D04,0,0,1,0,0,2,0,0,4,0,SMU,SMU,6,,,,,,,,
125326,Magnus Geers,TE,0,0,,2026,241,60,64,19,0,0,1,0,0,0,6,0,0,0,NEW MEXICO,NEW MEXICO,6,,,,,,,,
125348,Kobe Wilson,LB,0,0,,2025,287,74.6,66.9,D24,0,0,1,0,4,6,0,3,2,1,SMU,SMU,15,,60,,,,,,
