playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
171228,Joe Enick,G,0,,2027,299,67.9,78.1,74.6,64,0,1,0,37,0,0,15,52,37,15,ST FRANCIS,ST FRANCIS,,51.5,,,
171255,Evan Cooke,G,0,,2029,235,60,60,60,79,0,1,0,0,0,0,1,1,0,1,MORGAN ST,MORGAN ST,,,,,
171257,Trey Echols,WR,0,,2026,217,57.2,70.5,60,18,0,1,0,0,5,0,1,6,5,1,MCNEESE,MCNEESE,61,,57.6,,
171259,Peyton Faulkner,TE,0,,2028,317,55.1,75.2,57.4,19,0,1,0,2,8,0,10,20,10,10,TOWSON,TOWSON,61,68.1,53.6,,
171263,Drew Page,C,0,,2027,191,62.4,79.4,57.3,75,0,1,0,32,0,0,33,65,32,33,INDIANA ST,INDIANA ST,,83.3,,,
171333,Kyle Thomas,WR,0,,2030,295,66.8,73.4,60.9,06,0,1,0,0,6,0,5,11,6,5,S ILLINOIS,S ILLINOIS,61,,66.9,,
171335,Hyatt Timosciek,TE,0,,2028,310,67,75.6,57.8,88,0,1,0,3,20,0,18,41,23,18,TENN MARTN,TENN MARTN,64.1,75.3,68.7,,
171379,Reginald Johnson,QB,0,,2028,164,42.9,16.2,60,12,1,1,35,0,0,3,15,53,35,18,FL A&M,FL A&M,28.2,,,43.2,57.3
171381,Mason Ludwig,T,0,,2028,353,63,71.5,60,72,0,1,0,6,0,0,8,14,6,8,YNGTOWN ST,YNGTOWN ST,,74.4,,,
171426,Elijah Owens,QB,0,,2028,191,80.4,73.3,60,02,0,1,13,0,1,6,6,26,14,12,INDIANA ST,INDIANA ST,70.5,,54.3,74.6,71.9
171435,Zach Simpson,T,0,,2028,191,58.6,76.6,52.8,68,0,1,0,32,0,0,33,65,32,33,INDIANA ST,INDIANA ST,,74.8,,,
171443,BJ Wuest,WR,0,,2028,191,57.3,72.4,60.1,14,0,1,0,0,5,0,6,11,5,6,INDIANA ST,INDIANA ST,61,,57.5,,
171444,Ryan Boyd,WR,0,,2029,949,57.3,67.3,,00,0,1,0,0,3,0,0,3,3,0,LNDNWD,LNDNWD,,,58.2,,
171474,Zach Mehmert,TE,0,,2028,255,41.4,74.2,42.6,42,0,1,0,3,8,0,20,31,11,20,N IOWA,N IOWA,,72.6,49,,
171487,Cody Cotton,S,0,,2027,292,60,64.9,60,D30,0,1,0,0,0,0,1,1,0,1,S DAK ST,S DAK ST,,,,,
171502,Aiden Logan,G,0,,2026,295,45.3,79.4,48.8,61,0,1,0,39,0,0,21,60,39,21,S ILLINOIS,S ILLINOIS,,20.3,,,
171529,Matthew Keeley,C,0,,2028,353,67.4,74.1,65,64,0,1,0,6,0,0,8,14,6,8,YNGTOWN ST,YNGTOWN ST,,75.4,,,
171535,Nick Nielsen,T,0,,2028,353,57,72.6,56.8,76,0,1,0,10,0,0,10,20,10,10,YNGTOWN ST,YNGTOWN ST,,55.5,,,
171537,Bryce Schondelmyer,QB,0,,2028,150,72.2,76.8,60,07,0,1,29,0,0,1,37,67,29,38,DAYTON,DAYTON,28,,,78.4,47.9
171548,Jax Leatherwood,QB,0,,2028,293,64.7,77.2,60,12,0,1,41,0,0,5,30,76,41,35,SE MO ST,SE MO ST,71.1,,,62,64.8
171557,Everett Hunter,TE,0,,2027,243,68.1,75.9,55.4,83,1,1,0,6,19,0,15,40,25,15,NICHOLLS,NICHOLLS,62.9,76.7,71.9,,
171592,Chris Howell,QB,0,,2028,1298,73.5,66.6,60,13,0,1,1,0,1,0,1,3,2,1,LIUSHAR,LIUSHAR,62.4,,87.9,58.6,
171617,Anthony Aviles,T,0,,2027,385,61.9,76.1,58.9,71,0,1,0,29,0,0,26,55,29,26,MERRIMACK,MERRIMACK,,65.4,,,
171626,Jalen McDonald,WR,0,,2028,385,65.5,77.8,60.6,04,0,1,0,0,17,0,13,30,17,13,MERRIMACK,MERRIMACK,64.1,,64.9,,
171629,Austin Palmer,WR,0,,2028,385,48.5,77.2,59.8,05,0,1,0,0,20,0,19,39,20,19,MERRIMACK,MERRIMACK,63.6,,48.4,,
171632,Seth Sweitzer,WR,0,,2028,385,78.4,75.4,89.4,03,0,1,0,0,26,0,7,33,26,7,MERRIMACK,MERRIMACK,65,,73.5,,
171634,Brendon Wyatt,HB,0,,2028,385,72.9,73,59.6,01,0,1,0,3,7,8,2,20,10,10,MERRIMACK,MERRIMACK,72,74.7,48.5,,76.2
171649,Chase Haught,C,0,,2027,299,60,68.3,,61,0,1,0,4,0,0,0,4,4,0,ST FRANCIS,ST FRANCIS,,74.3,,,
171652,Jeff Hoenstine,QB,0,,2027,299,47,70.1,60,02,0,1,6,0,0,0,3,9,6,3,ST FRANCIS,ST FRANCIS,64.2,,,48.7,57.8
171679,Jordan Theodore,HB,0,,2027,299,57.2,72,47.3,21,0,1,0,1,3,4,0,8,4,4,ST FRANCIS,ST FRANCIS,68.6,67.9,57.4,,62.6
171683,Andrew Vines,HB,0,,2026,299,61.9,74.3,,07,0,1,0,0,17,0,0,17,17,0,ST FRANCIS,ST FRANCIS,64.1,,64.2,,
171698,Jeremiah Colclough,WR,0,,2028,338,50.4,0,60.2,04,1,1,0,0,18,0,16,34,18,16,WAGNER,WAGNER,61,,53.7,,
171708,Christopher Harris,TE,0,,2028,338,45.5,75.3,49.1,88,0,1,0,3,16,0,38,57,19,38,WAGNER,WAGNER,,69.1,48.4,,
171713,Sekou Kamau,HB,0,,2028,338,64.4,74.1,60,00,0,1,0,5,10,15,1,31,15,16,WAGNER,WAGNER,75.2,58.1,58.5,,64.7
171717,Mateo Lucero,G,0,,2028,338,45.5,80.5,44.8,78,0,1,0,32,0,0,47,79,32,47,WAGNER,WAGNER,,40,,,
171720,Teree McDonald,WR,0,,2028,338,70.7,81,62.6,09,0,1,0,0,31,1,46,78,31,47,WAGNER,WAGNER,67.8,,69.4,,62.7
171741,Malik Wilson,T,0,,2028,338,57.5,74.2,51.9,72,0,1,0,20,0,0,15,35,20,15,WAGNER,WAGNER,,69.9,,,
