playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesRun,gradesPass
127253,Quinn Ewers,QB,0,2025,2025,311,69.3,67.7,77,,60,03,0,1,31,0,0,2,38,71,31,40,TEXAS,TEXAS,,61.1,66.7
129581,Matthew Hibner,TE,0,2026,2026,287,62.9,58.4,79.7,64.1,36.4,88,0,1,0,9,29,0,24,62,38,24,SMU,SMU,81,,
129745,Julian Fleming,WR,0,,2025,266,,54.5,73.3,54.7,61.2,03,0,1,0,0,7,0,7,14,7,7,PENN STATE,PENN STATE,,,
129746,Josh Fryar,T,0,2025,2025,260,,66.9,76.1,,63,70,0,1,0,34,0,0,24,58,34,24,OHIO STATE,OHIO STATE,71.5,,
129747,Patrick Gurd,TE,0,2026,2026,260,,65.2,71.7,59.7,69.4,49,0,1,0,1,1,0,3,5,2,3,OHIO STATE,OHIO STATE,64.3,,
129756,Gee Scott Jr.,TE,0,2025,2025,260,65,59.7,76.7,59.7,58.2,88,0,1,0,1,23,0,10,34,24,10,OHIO STATE,OHIO STATE,65.6,,
129773,Nick Dawkins,C,0,2026,2026,266,,68.3,79.3,,63.7,53,1,1,0,30,0,0,32,62,30,32,PENN STATE,PENN STATE,79.5,,
129798,Tyler Warren,TE,0,2025,2025,266,66.7,70.5,78.5,64.6,70.8,44,0,1,1,0,27,1,24,53,28,25,PENN STATE,PENN STATE,,63.1,60.4
129935,Trey Wedig,T,0,2025,2025,190,,61,76.6,,66.8,75,0,1,0,42,0,0,25,67,42,25,INDIANA,INDIANA,46.8,,
138468,Tyler Stephens,G,0,,2025,190,,52.2,79.9,,46.8,77,0,1,0,42,0,0,25,67,42,25,INDIANA,INDIANA,65.3,,
143862,Riley Leonard,QB,0,2025,2025,258,70.8,75.9,24.2,,60,13,1,1,41,0,0,4,23,68,41,27,NOTRE DAME,NOTRE DAME,,65.6,76.3
143936,Romello Brinson,WR,0,2026,2026,287,61,53.7,77,53.9,60.1,03,0,1,0,0,21,0,9,30,21,9,SMU,SMU,,,
143950,Key'Shawn Smith,WR,0,2025,2025,287,62.9,60.3,0,62.5,61.3,09,1,1,0,0,27,1,17,45,27,18,SMU,SMU,,60,
143951,Brashard Smith,HB,0,2025,2025,287,76.2,63,76.8,66.7,57.5,01,0,1,0,4,24,17,3,48,28,20,SMU,SMU,53.1,61.4,
144112,Beaux Collins,WR,0,2025,2025,258,64.6,54.3,78.4,52.7,77,05,0,1,0,0,36,0,20,56,36,20,NOTRE DAME,NOTRE DAME,,,
144121,Tristan Leigh,T,0,2026,2026,140,,53.4,77.2,,61.3,71,0,1,0,48,0,0,20,68,48,20,CLEMSON,CLEMSON,38.6,,
144122,Ryan Linthicum,C,0,,2026,140,,63.9,79.6,,58.8,53,0,1,0,48,0,0,20,68,48,20,CLEMSON,CLEMSON,75.3,,
144123,Phil Mafah,HB,0,2025,2025,140,66.9,62.7,70.2,61.2,,07,0,1,0,0,8,2,0,10,8,2,CLEMSON,CLEMSON,,62.7,
144134,Banks Pope,TE,0,,2026,140,,60,66.1,,59.1,44,0,1,0,0,0,0,2,2,0,2,CLEMSON,CLEMSON,,,
144140,Marcus Tate,G,0,2025,2025,140,,69.1,79.9,,72,74,0,1,0,48,0,0,20,68,48,20,CLEMSON,CLEMSON,61,,
144356,Roderick Daniels Jr.,WR,0,2025,2025,287,68.4,55,79.6,58.3,37.3,13,0,1,0,0,41,1,23,65,41,24,SMU,SMU,,58.8,
144358,Stone Eby,TE,0,,2026,287,61,58.2,74.4,55.2,61.7,44,0,1,0,1,9,0,11,21,10,11,SMU,SMU,71,,
144626,Savion Byrd,T,0,,2026,287,,43.9,77.8,,64.4,54,2,1,0,45,0,0,30,75,45,30,SMU,SMU,2.6,,
144723,Hayden Conner,G,0,2025,2025,311,,65.8,80.1,,61,76,0,1,0,32,0,0,43,75,32,43,TEXAS,TEXAS,83.8,,
144725,Juan Davis,TE,0,,2025,311,,53.4,76.1,50.7,58.3,81,0,1,0,1,11,0,23,35,12,23,TEXAS,TEXAS,67.8,,
144726,Gunnar Helm,TE,0,2025,2025,311,66.2,85.4,77.3,87.1,63.4,85,0,1,0,2,30,0,42,74,32,42,TEXAS,TEXAS,69.4,,
145055,Emeka Egbuka,WR,0,2025,2025,260,66.6,77.5,76.7,76.3,60.5,02,0,1,0,0,21,0,14,35,21,14,OHIO STATE,OHIO STATE,,,
145059,TreVeyon Henderson,HB,0,2025,2025,260,73.5,86.1,73.9,88.1,59.4,32,0,1,0,1,14,10,3,28,15,13,OHIO STATE,OHIO STATE,67.6,79.3,
145060,Toby Wilson,G,0,,2025,260,,53.4,72,,52.4,54,0,1,0,2,0,0,7,9,2,7,OHIO STATE,OHIO STATE,74.3,,
145062,Zen Michalski,T,0,,2026,260,,66.5,70.3,,64.8,65,0,1,0,2,0,0,7,9,2,7,OHIO STATE,OHIO STATE,75.7,,
145064,Donovan Jackson,T,0,2025,2025,260,,68.8,76.6,,62.8,74,0,1,0,34,0,0,24,58,34,24,OHIO STATE,OHIO STATE,78.7,,
145087,Khalil Dinkins,TE,0,2026,2026,266,61,62.9,75.3,60.2,64.1,16,0,1,0,2,15,0,26,43,17,26,PENN STATE,PENN STATE,39.2,,
145089,Liam Clifford,WR,0,2026,2026,266,61,54.8,75.7,54.6,59,02,0,1,0,0,18,0,17,35,18,17,PENN STATE,PENN STATE,,,
145090,Harrison Wallace III,WR,0,2026,2026,266,65,62.1,78.5,60.2,71.9,06,0,1,0,0,24,0,23,47,24,23,PENN STATE,PENN STATE,,,
145179,Nolan Rucci,T,0,2026,2026,266,,71.1,3,,76.2,72,1,1,0,22,0,0,27,49,22,27,PENN STATE,PENN STATE,67,,
145887,Miles Cross,WR,0,,2025,190,61,53.3,76.9,52.9,59,19,0,1,0,0,17,0,11,28,17,11,INDIANA,INDIANA,,,
145896,Will Kacmarek,TE,0,2026,2026,260,61,57.4,74.5,50.8,68.2,89,0,1,0,4,15,0,13,32,19,13,OHIO STATE,OHIO STATE,52.8,,
146408,Tiaoalii Savea,DI,0,,2026,311,,60,63.6,,60,D98,0,1,0,0,0,0,1,1,0,1,TEXAS,TEXAS,,,
146547,Dont'e Thornton Jr.,WR,0,2025,2025,307,61,60.1,76.2,59.8,60.7,01,0,1,0,0,20,0,5,25,20,5,TENNESSEE,TENNESSEE,,,
146930,Andison Coby,WR,0,,2025,190,,55.6,69.4,56.6,60,00,0,1,0,0,3,0,2,5,3,2,INDIANA,INDIANA,,,
147003,LJ Johnson Jr.,HB,0,,2026,287,71.4,62.5,0,58.7,59.5,11,1,1,0,6,10,7,2,25,16,9,SMU,SMU,50.3,68.4,
147473,Deion Colzie,WR,0,,2026,258,,58.3,66,59.5,60,00,0,1,0,0,1,0,1,2,1,1,NOTRE DAME,NOTRE DAME,,,
147478,Rocco Spindler,G,0,,2026,258,,59.5,76.6,,57.7,50,0,1,0,21,0,0,13,34,21,13,NOTRE DAME,NOTRE DAME,62.7,,
147482,Pat Coogan,C,0,2026,2026,258,,54.4,79.7,,50.1,78,0,1,0,41,0,0,27,68,41,27,NOTRE DAME,NOTRE DAME,70.5,,
147485,Jayden Thomas,WR,0,,2026,258,62.9,79,75.1,74.2,71.3,83,0,1,0,0,7,0,12,19,7,12,NOTRE DAME,NOTRE DAME,,,
