playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPass,gradesRun
142544,Sunny Okunlola,G,0,,2026,191,71.1,73.9,,69.7,50,0,1,0,6,0,0,7,13,6,7,INDIANA ST,INDIANA ST,,83.4,,
142545,LJ Robinson,WR,0,,2025,385,65.2,76.5,62.1,78.9,02,0,1,0,0,13,0,14,27,13,14,MERRIMACK,MERRIMACK,62.9,,,
142575,Delvecchio Powell II,HB,0,,2025,277,61.9,72.2,56,71.3,22,0,1,0,0,8,4,3,15,8,7,ROB MORRIS,ROB MORRIS,68.6,,,59
142608,Worth Warner,TE,0,,2025,271,66.2,0,73.3,58.1,84,1,1,0,2,26,0,30,58,28,30,PRESBYTERN,PRESBYTERN,65,68.9,,
142663,Chase Stafford,TE,0,,2025,338,56.1,79.3,59.5,50.7,10,0,1,0,4,25,0,33,62,29,33,WAGNER,WAGNER,64.1,75.9,,
142682,Mateusz Zielinski,T,0,,2025,338,57.4,77.6,,54.2,77,0,1,0,39,0,0,35,74,39,35,WAGNER,WAGNER,,61.4,,
142685,Antonio Williams,T,0,,2026,152,70.8,76.3,,65.6,51,0,1,0,25,0,0,27,52,25,27,DELWARE ST,DELWARE ST,,80,,
142692,Terrell Staton,T,1,,2025,977,58.8,75.6,,50.2,70,1,1,0,28,0,0,17,45,28,17,MERCYHURST,MERCYHURST,,76.2,,
142724,Xavier Lankford,QB,0,,2026,104,57,71.8,,60,16,0,1,8,0,0,4,5,17,8,9,ALAB A&M,ALAB A&M,69.5,,45.4,68.6
142732,Israel Mukwiza,G,0,,2026,219,70.2,79.9,,67.4,71,0,1,0,32,0,0,36,68,32,36,MERCER,MERCER,,85.8,,
142734,Carson Vinson,T,0,2025,2025,104,75.6,76.6,,70.4,76,0,1,0,34,0,0,22,56,34,22,ALAB A&M,ALAB A&M,,83.4,,
142736,Nevell Brown,G,0,,2026,104,68.8,77.2,,67,78,0,1,0,16,0,0,17,33,16,17,ALAB A&M,ALAB A&M,,79.9,,
142767,Khalil Ellis,TE,0,,2026,290,57.5,69.9,59.2,59.8,49,0,1,0,0,1,0,5,6,1,5,SCAR STATE,SCAR STATE,,,,
142769,Cam Johnson,T,0,,2025,290,66.3,76.8,,57.2,73,0,1,0,32,0,0,30,62,32,30,SCAR STATE,SCAR STATE,,86.3,,
142770,Eric Brown,C,0,,2025,290,64.1,79.6,,59.1,76,0,1,0,33,0,0,35,68,33,35,SCAR STATE,SCAR STATE,,82.6,,
142771,Nick Taiste,G,0,,2025,290,59.2,78.6,,56.3,78,0,1,0,32,0,0,30,62,32,30,SCAR STATE,SCAR STATE,,69.8,,
142775,Justin Smith-Brown,WR,0,,2026,290,77.2,80.3,76.7,61.6,06,0,1,0,0,32,0,33,65,32,33,SCAR STATE,SCAR STATE,67.4,,,
142796,Austin Anderson,T,0,,2025,129,44.2,75.6,,59.5,72,2,1,0,32,0,0,17,49,32,17,CAL POLY,CAL POLY,,15.3,,
142801,Giancarlo Woods,WR,0,,2025,129,54,77.9,53.9,60.7,02,0,1,0,0,32,0,15,47,32,15,CAL POLY,CAL POLY,62.9,,,
142810,Michael Briscoe,WR,0,2026,2026,129,65.7,77.7,65.3,59.8,10,0,1,0,0,31,0,16,47,31,16,CAL POLY,CAL POLY,62.9,,,
142821,Robbie Greer,TE,0,,2025,129,60,63.5,,60,15,0,1,0,0,0,0,1,1,0,1,CAL POLY,CAL POLY,,,,
142834,Eric Aldridge Jr.,G,0,,2026,107,60,67.2,,60,51,0,1,0,0,0,0,2,2,0,2,ALCORN ST,ALCORN ST,,,,
142932,Jack Neri,TE,0,,2026,231,64.7,78.6,69,58.2,86,0,1,0,7,32,0,25,64,39,25,MONMOUTH,MONMOUTH,65,42.4,,
142942,JT Cornelius,T,0,,2026,231,77,77.1,,73.1,62,0,1,0,49,0,0,27,76,49,27,MONMOUTH,MONMOUTH,,79.3,,
142971,Jacob Otts,T,0,,2026,274,59.7,0,,61.4,72,2,1,0,34,0,0,45,79,34,45,RHODE ISLD,RHODE ISLD,,83.6,,
142992,Christian Tait,WR,0,,2025,338,54.6,76.2,55.1,59.9,18,0,1,0,0,6,0,4,10,6,4,WAGNER,WAGNER,,,,
143013,Ruben Anderson,K,0,,2025,348,49,70.3,,,S29,0,1,1,0,0,0,0,1,1,0,WM & MARY,WM & MARY,,,53.4,
143019,William Parker,TE,0,,2025,142,70.1,76.4,51.3,84.1,44,0,1,0,5,11,0,24,40,16,24,COLGATE,COLGATE,61,70.7,,
143021,Bardhyl Gashi,C,0,,2025,142,69.9,79.6,,69.1,77,0,1,0,39,0,0,29,68,39,29,COLGATE,COLGATE,,62.7,,
143040,Cole Thornton,WR,0,,2025,168,49.7,78.6,49.7,61.7,06,0,1,0,0,27,0,14,41,27,14,FORDHAM,FORDHAM,65.3,,,
143042,Mekai Felton,WR,0,,2025,168,57.2,0,62.8,61.8,01,2,1,0,0,26,0,14,40,26,14,FORDHAM,FORDHAM,61,,,
143049,Cody Johnson,C,0,,2025,168,58.3,77.9,,59.1,78,0,1,0,28,0,0,15,43,28,15,FORDHAM,FORDHAM,,52.8,,
143061,Byron Shipman,WR,0,,2025,181,55.7,76.1,55.4,60.2,11,0,1,0,0,12,0,20,32,12,20,HOLY CROSS,HOLY CROSS,61,,,
143063,Christo Kelly,C,0,,2027,181,57,0,,57.4,56,1,1,0,24,0,0,40,64,24,40,HOLY CROSS,HOLY CROSS,,81.4,,
143070,Quinton Gregory,WR,0,,2025,181,53.6,75.6,52,60.6,00,0,1,0,0,15,0,15,30,15,15,HOLY CROSS,HOLY CROSS,,,,
143093,Mason Gilbert,TE,0,,2026,212,36.2,74.3,34,59.5,88,0,1,0,0,16,0,4,20,16,4,MAINE,MAINE,15.6,,,
143112,Dante Perri,QB,0,,2025,205,60.7,68.6,,60,12,0,1,0,0,0,1,5,6,0,6,LEHIGH,LEHIGH,62.5,,,60
143117,George Padezanin,C,0,,2025,205,61.9,79,,58.9,56,0,1,0,21,0,0,37,58,21,37,LEHIGH,LEHIGH,,75.2,,
143119,Jackson Wiles,G,0,,2025,205,65.8,70.7,,65.4,66,0,1,0,0,0,0,6,6,0,6,LEHIGH,LEHIGH,,,,
143120,Renach Gena,T,0,,2025,205,60,64.3,,60,70,0,1,0,0,0,0,1,1,0,1,LEHIGH,LEHIGH,,,,
143121,Eric Johnson,WR,0,,2025,186,46.1,74.2,47.1,60.4,88,0,1,0,0,19,0,4,23,19,4,IDAHO ST,IDAHO ST,,,,
143141,Joey Suchy,HB,0,,2025,127,55.6,0,82.6,55.5,22,1,1,0,13,11,10,9,43,24,19,BUTLER,BUTLER,25.5,54.8,,51
143147,Owen Keane,G,0,,2025,127,65.5,79.3,,62.9,62,0,1,0,40,0,0,33,73,40,33,BUTLER,BUTLER,,75.8,,
143148,Fabian Gonzalez,T,0,,2025,127,79.6,77,,81.2,66,0,1,0,40,0,0,33,73,40,33,BUTLER,BUTLER,,64.8,,
143172,Luke Bailey,QB,0,,2026,153,72.7,76.5,,60,02,0,1,31,0,0,1,29,61,31,30,DRAKE,DRAKE,68.8,,71.7,60
143173,Hunter Johnson,WR,0,,2025,153,76.1,71.7,73.4,60,05,0,1,0,0,6,0,2,8,6,2,DRAKE,DRAKE,62.9,,,
143175,Jun Ahn,HB,0,,2025,153,67.2,74.4,55.6,60,16,0,1,0,0,3,11,1,15,3,12,DRAKE,DRAKE,73.5,,,67.1
143178,Brandon Langdok,WR,0,,2025,153,56.8,72.1,56.8,60.6,83,0,1,0,0,3,0,9,12,3,9,DRAKE,DRAKE,65.6,,,
143179,Jacob McCauley,WR,0,,2025,153,45.4,75,44.3,59.6,03,1,1,0,0,10,0,14,24,10,14,DRAKE,DRAKE,,,,
143181,Eli Stewart,FB,0,,2025,153,56.5,74.2,57.1,55.7,49,0,1,0,0,3,0,12,15,3,12,DRAKE,DRAKE,,,,
143182,Bennet Krebs,C,0,,2025,153,68,79.4,,65.2,52,0,1,0,32,0,0,32,64,32,32,DRAKE,DRAKE,,69.4,,
143186,Ross Palmer,T,0,,2025,153,74.5,76.6,,68.8,68,0,1,0,32,0,0,32,64,32,32,DRAKE,DRAKE,,83,,
143187,Rhent Addis,G,0,,2026,153,58.9,71,,58.6,71,0,1,0,0,0,0,7,7,0,7,DRAKE,DRAKE,,,,
143188,Isaac House,G,0,,2025,153,78.3,77.2,,78.1,72,0,1,0,18,0,0,21,39,18,21,DRAKE,DRAKE,,82.6,,
143205,Tim Nesslage,TE,0,,2025,153,70.6,75.2,64.4,71.8,87,0,1,0,4,12,0,19,35,16,19,DRAKE,DRAKE,62.9,70.3,,
143206,Sam Rodriguez,TE,0,,2025,153,76.3,72.9,76,65.1,08,0,1,0,0,4,0,17,21,4,17,DRAKE,DRAKE,61,,,
143255,Braden Contreras,WR,0,,2025,188,59.9,74.3,59.3,61.4,09,0,1,0,0,3,0,10,13,3,10,ILL STATE,ILL STATE,61,,,
143259,Tyler Eberhart,C,0,,2025,332,55.7,78.5,,61,60,1,1,0,29,0,0,22,51,29,22,VALPO,VALPO,,29.2,,
143261,Carter Woody,G,0,,2025,332,59.9,0,,64.6,62,1,1,0,29,0,0,22,51,29,22,VALPO,VALPO,,60.8,,
143264,Jeremiah Orr,T,0,,2027,178,51.5,77.1,,58.9,70,0,1,0,28,0,0,46,74,28,46,HAMPTON,HAMPTON,,20.5,,
143272,Jake Vickers,TE,1,,2025,332,54.2,0,61,52.5,89,1,1,0,8,18,0,18,44,26,18,VALPO,VALPO,61,74.6,,
143329,DePhabian Fant,HB,0,,2026,228,72.6,74.3,73.7,60,21,0,1,0,14,9,9,1,33,23,10,MS VLY ST,MS VLY ST,73.2,72.3,,69.1
143330,Khalil James-Ware,T,0,,2026,228,29.7,71.3,,59.4,72,0,1,0,10,0,0,2,12,10,2,MS VLY ST,MS VLY ST,,0,,
143339,Jakobe Thomas,HB,0,,2025,228,68.2,75.5,55.7,72.4,05,0,1,0,9,8,10,4,31,17,14,MS VLY ST,MS VLY ST,73.1,81.6,,65.5
143343,Jacob Allen,G,0,,2026,236,64,77,,63.5,79,0,1,0,21,0,0,18,39,21,18,MURRAY ST,MURRAY ST,,63.6,,
143426,Kieran Fry,WR,0,,2026,298,59.9,65.9,,59.6,82,0,1,0,0,0,0,2,2,0,2,SO UTAH,SO UTAH,61.9,,,
143535,Isaiah Smith,HB,0,,2026,283,68.4,0,65.1,60,15,1,1,0,5,23,31,2,61,28,33,SAN DIEGO,SAN DIEGO,26.6,43.1,,69.5
143557,Colter May,FB,0,,2026,342,59.1,71.8,58.5,58.5,34,0,1,0,1,2,0,6,9,3,6,WEBER ST,WEBER ST,,67.5,,
143699,Drew Deck,WR,0,,2026,232,58,65.9,58.9,,02,0,1,0,0,2,0,0,2,2,0,MONTANA,MONTANA,,,,
143705,Brandon Casey,T,0,,2025,232,59.1,76.3,,64.6,66,0,1,0,42,0,0,18,60,42,18,MONTANA,MONTANA,,47.6,,
143708,Erik Barker,TE,0,,2025,232,50.3,0,51.2,67.1,88,1,1,0,0,11,0,11,22,11,11,MONTANA,MONTANA,,,,
143717,Journey Grimsrud,G,0,,2025,232,59,78.6,,55.8,76,0,1,0,42,0,0,18,60,42,18,MONTANA,MONTANA,,65.2,,
143731,Jake Olson,TE,0,,2026,232,55.6,68.1,57.1,60,87,0,1,0,0,2,0,1,3,2,1,MONTANA,MONTANA,,,,
143735,Liam Brown,G,0,2026,2026,232,47.5,79.6,,55.3,79,0,1,0,42,0,0,18,60,42,18,MONTANA,MONTANA,,16,,
143755,Jalynnee McGee,HB,0,,2025,269,69.5,72.5,56.6,,19,0,1,0,0,5,6,0,11,5,6,PORTLAND,PORTLAND,70.5,,,69.2
143822,Xavier Coleman,HB,0,,2026,204,61.2,72.8,55,60,00,0,1,0,0,5,3,3,11,5,6,LAMAR,LAMAR,67.3,,,62.5
143894,Parker Self,WR,0,,2025,157,60,67.6,,60,89,0,1,0,0,0,0,2,2,0,2,E TENN ST,E TENN ST,,,,
