playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesRun,gradesPass
163734,Dillon Bell,WR,0,2026,2026,173,49.5,78.2,,45.4,86,0,1,0,0,31,0,18,49,31,18,GEORGIA,GEORGIA,,51.2,,
163736,Drew Bobo,C,0,,2027,173,60.5,60,,,74,0,1,1,0,0,0,0,1,1,0,GEORGIA,GEORGIA,60.3,,,60.6
163753,Cole Speer,WR,0,,2026,173,67.1,70.3,,81.1,83,0,1,0,0,2,0,3,5,2,3,GEORGIA,GEORGIA,,58.2,,
163844,DJ Campbell,G,0,2026,2026,311,79.4,78.1,81.8,81.1,52,0,1,0,36,0,0,17,53,36,17,TEXAS,TEXAS,,,,
163867,Cameron Williams,T,0,2025,2025,311,50.3,21.5,66.7,43.4,56,2,1,0,55,0,0,22,77,55,22,TEXAS,TEXAS,,,,
163938,Jacob Barrick,TE,0,,2026,196,59.1,76,70.4,61.9,81,0,1,0,4,9,0,33,46,13,33,JVILLE ST,JVILLE ST,61,54.2,,
163966,Jordan McCants,WR,0,,2028,196,57.1,77.6,,62.9,88,0,1,0,0,7,0,29,36,7,29,JVILLE ST,JVILLE ST,61,55.8,,
164122,Jordon Jones,T,0,,2027,259,60,68,,60.2,55,0,1,0,0,0,0,4,4,0,4,OHIO,OHIO,,,,
164127,Jarian Shelby,T,0,,2027,259,63.8,67.7,,68.6,75,0,1,0,0,0,0,4,4,0,4,OHIO,OHIO,,,,
164131,Kam Wright,C,0,,2027,259,60,69.6,,60.4,67,0,1,0,0,0,0,4,4,0,4,OHIO,OHIO,,,,
164157,Drew Allar,QB,0,2026,2026,266,68.2,78,,60.3,15,0,1,42,0,1,4,28,75,43,32,PENN STATE,PENN STATE,70.8,57.2,68.6,65.2
164158,Kaytron Allen,HB,0,2026,2026,266,76.7,76,,44,13,0,1,0,0,17,14,4,35,17,18,PENN STATE,PENN STATE,74.9,64.8,80.4,
164168,Omari Evans,WR,0,2026,2026,266,66.2,75.9,,60,05,0,1,0,0,25,0,8,33,25,8,PENN STATE,PENN STATE,61,65.6,,
164174,Vega Ioane,G,0,2026,2026,266,63.3,8.5,67.6,66.4,71,1,1,0,44,0,0,32,76,44,32,PENN STATE,PENN STATE,,,,
164180,JB Nelson,G,0,,2026,266,59.7,66,,58.3,56,0,1,0,0,0,0,2,2,0,2,PENN STATE,PENN STATE,,,,
164182,Beau Pribula,QB,0,,2027,266,59,68.1,,60,09,0,1,1,0,0,2,2,5,1,4,PENN STATE,PENN STATE,65.9,,60.5,60
164186,Drew Shelton,T,0,2026,2026,266,55.2,77.7,39.9,61,66,0,1,0,44,0,0,32,76,44,32,PENN STATE,PENN STATE,,,,
164188,Nicholas Singleton,HB,0,2026,2026,266,70.4,76.3,55.7,55.5,10,0,1,0,4,25,11,7,47,29,18,PENN STATE,PENN STATE,73.7,64.1,73,
166787,Moussa Barry,WR,0,,2027,346,59.6,69.9,,60.4,18,0,1,0,0,1,0,5,6,1,5,W KENTUCKY,W KENTUCKY,,59.9,,
169972,Arnold Barnes III,HB,0,,2028,319,65.2,70,75.4,,20,0,1,0,2,6,1,0,9,8,1,TULANE,TULANE,62.5,56.6,63.3,
169984,Darian Mensah,QB,0,,2028,319,49.5,76,,60,10,0,1,33,0,0,2,18,53,33,20,TULANE,TULANE,20.8,,57.7,48.3
170003,Tyler Brown,WR,0,,2028,140,48.2,67.8,,36.8,06,0,1,0,0,4,0,0,4,4,0,CLEMSON,CLEMSON,,56.2,,
170010,Jay Haynes,HB,0,,2028,140,57.6,73.4,56.2,60,26,0,1,0,4,8,5,5,22,12,10,CLEMSON,CLEMSON,70.3,56.4,58.8,
170022,Olsen Patt-Henry,TE,0,,2028,140,55.4,76.2,70.1,61,11,0,1,0,3,11,0,15,29,14,15,CLEMSON,CLEMSON,,52.1,,
170024,Harris Sewell,G,0,,2028,140,62.1,76.8,21.7,69.6,73,0,1,0,20,0,0,16,36,20,16,CLEMSON,CLEMSON,,,,
170407,K.D. Arnold,T,0,,2028,196,75.6,70.3,,74.5,71,0,1,0,0,0,0,10,10,0,10,JVILLE ST,JVILLE ST,,,,
170410,Jarod Bowie,WR,0,,2026,196,67.3,70.3,,81.9,09,0,1,0,0,1,0,9,10,1,9,JVILLE ST,JVILLE ST,,59.5,,
170422,Cam Griffin,G,0,,2028,196,58.6,73,,58.3,60,0,1,0,0,0,0,10,10,0,10,JVILLE ST,JVILLE ST,,,,
170423,Daveion Harley,C,0,,2028,196,68.3,79.8,79.1,64.7,55,0,1,0,16,0,0,57,73,16,57,JVILLE ST,JVILLE ST,,,,
170441,Cam Vaughn,WR,0,,2028,196,84.8,77.5,,61.8,18,0,1,0,0,13,0,40,53,13,40,JVILLE ST,JVILLE ST,65,86.2,,
170976,Paolo Gennarelli,G,0,,2028,114,64.9,78.3,2.9,65.5,71,0,1,0,3,0,0,53,56,3,53,ARMY,ARMY,,,,
170984,Samari Howard,FB,0,,2028,114,55.6,69.9,,53.7,27,0,1,0,0,0,0,7,7,0,7,ARMY,ARMY,,,,
171003,Kavon Pointer,TE,0,,2028,114,60,65,,60,89,0,1,0,0,0,0,2,2,0,2,ARMY,ARMY,,,,
171004,Parker Poloskey,T,0,,2028,114,53.9,73,,53.7,44,0,1,0,0,0,0,18,18,0,18,ARMY,ARMY,,,,
171009,Jake Rendina,HB,0,,2028,114,54.1,72.4,,53.8,33,0,1,0,0,0,1,14,15,0,15,ARMY,ARMY,62.5,,58.5,
171015,Brady Small,C,0,,2028,114,88.8,79,73.1,80.6,51,0,1,0,3,0,0,54,57,3,54,ARMY,ARMY,,,,
171016,Carson Smith,HB,0,,2028,114,60,67.6,,60,48,0,1,0,0,0,0,2,2,0,2,ARMY,ARMY,,,,
171024,Kanye Udoh,WR,0,,2028,114,76.5,78.2,73.6,60.1,06,0,1,0,3,0,20,19,42,3,39,ARMY,ARMY,76.7,,74.7,
171030,Teddy Williams,T,0,,2028,114,60,66.3,,60,83,0,1,0,0,0,0,2,2,0,2,ARMY,ARMY,,,,
171271,Lynel Billups-Williams,WR,0,,2028,221,59,70.2,,61.2,82,0,1,0,0,2,0,7,9,2,7,MIAMI OH,MIAMI OH,,58.9,,
171292,Greg Smith Jr.,G,0,,2028,221,65.9,73.6,74.5,64.9,74,0,1,0,3,0,0,9,12,3,9,MIAMI OH,MIAMI OH,,,,
171295,Cole Weaver,WR,0,,2028,221,59.1,71.8,,61.3,84,0,1,0,0,2,0,7,9,2,7,MIAMI OH,MIAMI OH,,59,,
171348,Chase Hendricks,WR,0,,2028,259,59,80.1,,60.7,07,0,1,0,0,30,0,29,59,30,29,OHIO,OHIO,66.7,58.6,,
171350,Rickey Hunt Jr.,HB,0,,2028,259,59.8,66.1,,60,28,0,1,0,0,2,0,1,3,2,1,OHIO,OHIO,,58.9,,
171367,Mason Williams,TE,0,,2028,259,71.3,78.5,65.4,63.7,85,0,1,0,1,17,0,27,45,18,27,OHIO,OHIO,62.9,72.3,,
171881,Max Iheanachor,T,0,2026,2026,110,58.7,75,64.7,55.6,58,0,1,0,23,0,0,20,43,23,20,ARIZONA ST,ARIZONA ST,,,,
171884,Sean Na'a,G,0,,2029,110,52.5,74.4,,52.3,74,0,1,0,0,0,0,14,14,0,14,ARIZONA ST,ARIZONA ST,,,,
