playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter,gradesKickoffKicker
157560,Jace Gilbert,K,1,0,,2027,193,60,68.6,S20,0,0,1,0,0,5,0,1,0,0,IOWA STATE,IOWA STATE,6,,,,,,,60,56.1
157561,Caleb Bacon,LB,0,0,,2027,193,60.1,63.8,D26,0,0,1,0,2,0,0,0,0,0,IOWA STATE,IOWA STATE,2,60.1,,,,,,,
157568,Tyler Perkins,P,0,0,,2026,193,60.7,64.9,S80,0,0,1,5,0,0,0,3,0,0,IOWA STATE,IOWA STATE,8,,60,,,,,61.7,
157570,Caden Kock,S,1,0,,2027,193,71.5,66.1,D35,0,0,1,0,0,5,4,0,0,1,IOWA STATE,IOWA STATE,9,,,,,,,,
157572,Chet Andrews,ED,0,0,,2027,193,50.5,66.6,D96,0,0,1,0,0,5,0,0,4,0,IOWA STATE,IOWA STATE,9,,,,,,,,
157578,Gabe Burkle,TE,0,0,,2027,193,61.2,62,84,0,0,1,5,0,0,0,4,0,0,IOWA STATE,IOWA STATE,9,,60,,,,,,
157583,Jontez Williams,CB,0,0,,2027,193,60.2,65.1,D03,0,0,1,0,3,0,0,0,0,0,IOWA STATE,IOWA STATE,3,59.8,,,,,,,
157589,Eddie Lemos,CB,0,0,,2027,193,60,64.2,D38,0,0,1,0,0,0,0,0,4,0,IOWA STATE,IOWA STATE,4,,,,,,,,
157591,Ikenna Ezeogu,ED,0,0,,2027,193,60.4,64.9,D88,0,0,1,0,3,0,0,0,1,0,IOWA STATE,IOWA STATE,4,59.6,,,,,,,
157599,James Neal III,T,0,0,2026,2026,193,61.5,67.8,75,0,0,1,5,0,0,0,0,0,0,IOWA STATE,IOWA STATE,5,,60,,,,,,
157602,Domonique Orange,DI,0,0,2026,2026,193,59.8,65.8,D95,0,0,1,0,3,0,0,0,1,0,IOWA STATE,IOWA STATE,4,59.1,,,,,,,
157608,Jeremiah Cooper,CB,0,0,,2027,193,61.1,65.1,D04,0,0,1,0,2,5,0,0,0,0,IOWA STATE,IOWA STATE,7,60,,,,,,,
