playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
159896,Chauncey Spikes,WR,0,,2026,247,65.7,70.9,76.7,,70.4,61.3,00,0,1,0,0,26,0,23,49,26,23,NC CENT,NC CENT,,
159898,Luke Bracey,TE,0,,2027,247,62.9,56.3,76.2,,61.2,51.9,83,0,1,0,0,15,0,27,42,15,27,NC CENT,NC CENT,,
159899,Noah McKinney,C,0,,2026,247,,67.3,79.4,83,,62.2,62,0,1,0,32,0,0,31,63,32,31,NC CENT,NC CENT,,
159900,Taron Williams,T,0,,2027,247,,45.9,71.1,14.4,,51.3,70,0,1,0,5,0,0,6,11,5,6,NC CENT,NC CENT,,
159901,Trevon Humphrey,T,0,,2027,247,,62.3,77.1,69.6,,58.2,55,0,1,0,32,0,0,31,63,32,31,NC CENT,NC CENT,,
160040,Dawson Hearne,TE,0,,2026,401,61,69,75.7,70.2,63.7,68.4,88,0,1,0,4,13,0,16,33,17,16,TARLETON,TARLETON,,
160050,Austin Samaha,TE,0,,2026,189,,43.6,69.5,,59.3,38.6,44,0,1,0,0,1,0,3,4,1,3,INCAR WORD,INCAR WORD,,
160829,Ryan Bernard,G,0,,2027,243,,64.2,78.6,70.4,,62.4,76,0,1,0,34,0,0,25,59,34,25,NICHOLLS,NICHOLLS,,
160850,Scrappy Osby,WR,0,,2027,243,62.9,62.1,77.1,,61.7,60.5,06,0,1,0,0,15,0,6,21,15,6,NICHOLLS,NICHOLLS,,
160853,Sameij Scott,T,0,,2027,243,,62.1,12.4,59.1,,67.8,66,1,1,0,33,0,0,23,56,33,23,NICHOLLS,NICHOLLS,,
162348,Kurt Hatch,T,0,,2026,401,,58.3,75.4,67.9,,54.5,59,0,1,0,25,0,0,24,49,25,24,TARLETON,TARLETON,,
162378,Samuel Gbatu Jr.,WR,0,,2027,322,66.6,64.3,77.9,,64.4,68.4,08,0,1,1,0,32,0,25,58,33,25,UC DAVIS,UC DAVIS,57.3,
162391,Winston Williams,TE,1,,2027,322,61,46.9,0,36.1,50.5,58.7,23,2,1,0,5,18,0,21,44,23,21,UC DAVIS,UC DAVIS,,
163555,Kamron Barnes,G,0,,2027,243,,70.7,71.6,0,,79.6,50,0,1,0,5,0,0,3,8,5,3,NICHOLLS,NICHOLLS,,
163566,Klabron Pollard,T,0,,2027,243,,62.2,77.6,83,,57.8,52,0,1,0,21,0,0,15,36,21,15,NICHOLLS,NICHOLLS,,
164060,Dason Brooks,HB,0,,2027,186,76.5,79.9,77,76.1,67.6,53.1,28,0,1,0,32,17,19,3,71,49,22,IDAHO ST,IDAHO ST,81.5,
164068,Jaedon Garcia,G,0,,2027,186,,55.3,70.7,77.9,,60,76,0,1,0,5,0,0,1,6,5,1,IDAHO ST,IDAHO ST,,
