playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesFgepOffense,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter
170265,Bryson Rodgers,WR,0,0,,2028,260,,60,64.4,13,0,0,1,0,0,0,0,1,0,0,OHIO STATE,OHIO STATE,1,,,,,,,
170274,Jelani Thurman,TE,0,0,,2028,260,,60.8,60.5,15,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
170276,Alex Birchmeier,G,0,0,,2029,266,,61.4,62,63,0,0,1,4,0,0,0,0,0,0,PENN STATE,PENN STATE,4,,,60,,,,
170280,Kolin Dinkins,CB,0,0,,2027,266,,61.4,68.8,D31,0,0,1,0,0,5,5,0,1,0,PENN STATE,PENN STATE,11,,,,,,,
170291,Chimdy Onoh,G,0,0,,2028,266,,61.2,67.2,55,0,0,1,4,0,0,0,0,0,0,PENN STATE,PENN STATE,4,,,60,,,,
170295,Ta'Mere Robinson,LB,0,0,,2028,266,,63.7,66.4,D24,0,0,1,0,0,5,5,0,1,0,PENN STATE,PENN STATE,11,,,,,,,
170297,Tony Rojas,LB,0,0,,2028,266,59.8,60.9,63.8,D13,0,0,1,0,4,0,0,0,2,0,PENN STATE,PENN STATE,6,,,,,,,
170301,Zion Tracy,CB,0,0,,2028,266,59.6,70.9,67.8,D07,1,0,1,0,3,5,0,5,4,1,PENN STATE,PENN STATE,17,,55.1,,,,,
170303,Elliot Washington II,CB,0,0,,2028,266,59.9,61.9,68.6,D09,0,0,1,0,2,5,0,0,2,0,PENN STATE,PENN STATE,9,,,,,,,
170305,J'ven Williams,T,0,0,,2028,266,,61.1,67.8,74,0,0,1,4,0,0,0,0,0,0,PENN STATE,PENN STATE,4,,,60,,,,
170325,Jordan Mayer,ED,0,0,,2027,266,,74.1,63.8,D95,0,0,1,0,0,0,5,0,0,0,PENN STATE,PENN STATE,5,,,,,,,
171074,Sullivan Absher,T,0,0,,2028,258,,60.9,61.9,75,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60,,,,
171075,Jaiden Ausberry,LB,0,0,,2028,258,60,63.4,70,D04,0,0,1,0,1,5,0,0,5,0,NOTRE DAME,NOTRE DAME,11,,,,,,,
171077,Drayk Bowen,LB,0,0,,2028,258,59.8,59.9,65.2,D34,0,0,1,0,4,0,0,4,1,0,NOTRE DAME,NOTRE DAME,9,,,,,,,
171081,Jordan Faison,WR,0,0,,2028,258,,59.6,67.2,06,0,0,1,0,0,0,0,4,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
171087,Charles Jagusah,G,0,0,,2028,258,,61.5,67.8,56,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60,,,,
171092,Ben Minich,S,0,0,,2028,258,,61.7,68.7,D13,0,0,1,0,0,5,0,0,4,0,NOTRE DAME,NOTRE DAME,9,,,,,,,
171093,Armel Mukam,DI,0,0,,2028,258,59.9,60.1,63.2,D88,0,0,1,0,4,0,0,0,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
171094,Kobi Onyiuke,ED,0,0,,2026,258,,61.1,64.4,D45,0,0,1,0,0,3,0,4,0,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
171098,Adon Shuler,S,0,0,,2028,258,60,60.8,67.7,D08,0,0,1,0,1,0,0,0,4,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
171100,Luke Talich,S,1,0,,2028,258,,77.8,68.6,D28,0,0,1,0,0,5,0,4,4,1,NOTRE DAME,NOTRE DAME,13,,,,,,,
171101,Chris Terek,G,0,0,,2028,258,,61,62.9,55,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60,,,,
171105,Preston Zinter,LB,0,0,,2028,258,,63.3,70.2,D25,0,0,1,0,0,5,5,0,4,0,NOTRE DAME,NOTRE DAME,14,,,,,,,
172375,Caleb Downs,S,0,0,2026,2026,260,60,60.6,67,D02,0,0,1,0,2,1,0,6,6,0,OHIO STATE,OHIO STATE,15,,62.9,,,,,
173158,Anthony Hill Jr.,LB,0,0,2026,2026,311,59.9,60,62.2,D00,0,0,1,0,2,0,0,0,0,0,TEXAS,TEXAS,2,,,,,,,
173161,Liona Lefau,LB,0,0,,2028,311,60,61.1,68.1,D18,0,0,1,0,2,3,3,6,5,0,TEXAS,TEXAS,19,,,,,,,
173164,DeAndre Moore Jr.,WR,0,0,,2028,311,,60.9,69.6,00,0,0,1,0,0,0,5,0,4,0,TEXAS,TEXAS,9,,,,,,,
173165,Malik Muhammad,CB,0,0,2026,2026,311,,60.2,62.9,D05,0,0,1,0,0,2,0,0,0,0,TEXAS,TEXAS,2,,,,,,,
173168,Colton Vasek,ED,0,0,,2028,311,,60.2,64.7,D92,0,0,1,0,0,0,2,0,1,0,TEXAS,TEXAS,3,,,,,,,
