playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPass,gradesRun
129798,Tyler Warren,TE,0,2025,2025,266,67.6,75.4,79.1,72.9,60.5,44,0,1,1,0,27,1,33,62,28,34,PENN STATE,PENN STATE,,,69.2
143862,Riley Leonard,QB,0,2025,2025,258,73.9,64,23.3,,60,13,1,1,31,0,0,14,21,66,31,35,NOTRE DAME,NOTRE DAME,,64.9,61.9
144112,Beaux Collins,WR,0,2025,2025,258,,56.3,72.7,56.8,60.1,05,0,1,0,0,3,0,4,7,3,4,NOTRE DAME,NOTRE DAME,,,
144723,Hayden Conner,G,0,2025,2025,311,,51.1,80.2,,49.6,76,0,1,0,47,0,0,24,71,47,24,TEXAS,TEXAS,44.4,,
144725,Juan Davis,TE,0,,2025,311,61,47.2,75.4,53.7,44.5,81,0,1,0,2,11,0,10,23,13,10,TEXAS,TEXAS,47,,
144726,Gunnar Helm,TE,0,2025,2025,311,64.6,44.3,0,54.2,45.7,85,1,1,0,6,40,0,24,70,46,24,TEXAS,TEXAS,32.7,,
145055,Emeka Egbuka,WR,0,2025,2025,260,68.3,63.6,78,64.2,55.5,02,0,1,0,0,35,1,15,51,35,16,OHIO STATE,OHIO STATE,,,59.6
145059,TreVeyon Henderson,HB,0,2025,2025,260,70.7,69.8,0,64,59.7,32,1,1,0,2,20,6,3,31,22,9,OHIO STATE,OHIO STATE,34.1,,77.2
145064,Donovan Jackson,T,0,2025,2025,260,,74.1,76.8,,65.6,74,0,1,0,38,0,0,22,60,38,22,OHIO STATE,OHIO STATE,86.2,,
145087,Khalil Dinkins,TE,0,2026,2026,266,62.9,61.9,76.1,66.2,55.2,16,0,1,0,3,10,0,27,40,13,27,PENN STATE,PENN STATE,69.7,,
145089,Liam Clifford,WR,0,2026,2026,266,,53.6,74.2,53.6,60.9,02,0,1,0,0,11,0,9,20,11,9,PENN STATE,PENN STATE,,,
145090,Harrison Wallace III,WR,0,2026,2026,266,,51.6,78,51.5,57.4,06,0,1,0,0,26,0,27,53,26,27,PENN STATE,PENN STATE,,,
145179,Nolan Rucci,T,0,2026,2026,266,,70.6,76.8,,67.3,72,0,1,0,30,0,0,37,67,30,37,PENN STATE,PENN STATE,72.2,,
145896,Will Kacmarek,TE,0,2026,2026,260,62.9,71.1,76.6,76.5,57.6,89,0,1,0,4,12,0,20,36,16,20,OHIO STATE,OHIO STATE,54.3,,
147473,Deion Colzie,WR,0,,2026,258,,54.1,73.8,55.5,54.7,00,0,1,0,0,7,0,8,15,7,8,NOTRE DAME,NOTRE DAME,,,
147478,Rocco Spindler,G,0,,2026,258,,60.2,75.2,,60.9,50,0,1,0,12,0,0,10,22,12,10,NOTRE DAME,NOTRE DAME,49.8,,
147482,Pat Coogan,C,0,2026,2026,258,,63.9,80.1,,63,78,0,1,0,40,0,0,35,75,40,35,NOTRE DAME,NOTRE DAME,60.2,,
147485,Jayden Thomas,WR,0,,2026,258,62.5,52.9,78.8,51.8,56.8,83,0,1,0,0,31,1,25,57,31,26,NOTRE DAME,NOTRE DAME,,,62.3
147486,Mitchell Evans,TE,0,2025,2025,258,65.7,66.2,78.4,68.6,46.3,88,0,1,0,1,35,0,21,57,36,21,NOTRE DAME,NOTRE DAME,65.4,,
156165,Matthew Golden,WR,0,2025,2025,311,62.9,74,0,74,79.1,02,1,1,0,0,19,0,7,26,19,7,TEXAS,TEXAS,,,
156482,Bennett Christian,TE,0,,2027,260,,83.5,70.1,,81.9,85,0,1,0,2,0,0,7,9,2,7,OHIO STATE,OHIO STATE,43.4,,
156966,Steve Angeli,QB,0,,2027,258,64.9,72.7,70.1,,,18,0,1,9,0,0,0,0,9,9,0,NOTRE DAME,NOTRE DAME,,72.3,
156970,Eli Raridon,TE,0,2026,2026,258,,59.1,74.2,55,62.7,09,0,1,0,1,5,0,14,20,6,14,NOTRE DAME,NOTRE DAME,65.4,,
156973,Aamil Wagner,T,0,2026,2026,258,,65.9,77.2,,66.8,59,0,1,0,40,0,0,35,75,40,35,NOTRE DAME,NOTRE DAME,58.3,,
156979,Billy Schrauth,G,0,2026,2026,258,,63,80.4,,57.9,74,0,1,0,40,0,0,35,75,40,35,NOTRE DAME,NOTRE DAME,83.4,,
156985,Jadarian Price,HB,0,2026,2026,258,71.3,62.1,72,56.7,58.8,24,0,1,0,1,6,7,3,17,7,10,NOTRE DAME,NOTRE DAME,70,,62.6
157128,Quinshon Judkins,HB,0,2025,2025,260,73.2,75.9,75.2,72.4,71.3,01,0,1,0,4,12,10,6,32,16,16,OHIO STATE,OHIO STATE,23.6,,75.1
157303,Jaydon Blue,HB,0,2025,2025,311,69.9,60,75.2,59.4,60,23,0,1,0,0,17,4,1,22,17,5,TEXAS,TEXAS,,,60.4
157304,Cole Hutson,G,0,,2027,311,,50.8,76.6,,53,54,0,1,0,23,0,0,12,35,23,12,TEXAS,TEXAS,29.9,,
