playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesPunter
101877,Rylan Ortt,S,0,0,,2025,233,59.8,60.7,67,D26,0,0,1,0,5,1,0,0,4,0,MONTANA ST,MONTANA ST,10,,,,,,,
102509,Ryan Lonergan,TE,0,0,,2025,233,,61,62,87,0,0,1,4,0,0,0,2,0,0,MONTANA ST,MONTANA ST,6,60,,,,,,
106659,Eli Mostaert,DI,0,0,2025,2025,250,59.5,60.3,64.6,D53,0,0,1,0,2,0,1,0,1,0,N DAK ST,N DAK ST,4,,,,,,,
106770,Griffin Crosa,K,0,0,,2025,250,,60,63.5,S39,0,0,1,5,0,0,0,0,0,0,N DAK ST,N DAK ST,5,,,64.3,,,,
106811,Nick Kubitz,LB,0,0,2025,2025,250,59.2,65,65.6,D36,0,0,1,0,4,3,0,4,1,1,N DAK ST,N DAK ST,12,,,,,,,
108890,Hunter Poncius,T,0,0,,2025,250,59.7,61.4,63.4,76,0,0,1,5,2,0,0,0,0,0,N DAK ST,N DAK ST,7,60.8,,,,,,
109500,Braylon Henderson,WR,0,0,,2025,250,,60,61.2,01,0,0,1,0,0,0,1,0,0,0,N DAK ST,N DAK ST,1,,,,,,,
125282,Oscar Benson,CB,0,0,,2025,250,60,50.8,70.8,D11,1,0,1,0,2,5,5,0,0,0,N DAK ST,N DAK ST,12,,,,,,,
125298,TK Marshall,HB,1,0,,2025,250,,67.4,69.2,28,0,0,1,0,0,6,5,0,1,0,N DAK ST,N DAK ST,12,,,,,,,
125300,Mason Miller,T,0,0,2025,2025,250,59.5,61.2,65.9,73,0,0,1,5,2,0,0,0,0,0,N DAK ST,N DAK ST,7,60.3,,,,,,
125301,RaJa Nelson,WR,0,0,,2026,250,,60,61.6,03,0,0,1,0,0,0,0,0,1,0,N DAK ST,N DAK ST,1,,,,,,,
125303,Loshiaka Roques,ED,0,0,,2025,250,59.9,60.5,63.5,D56,0,0,1,0,2,0,0,0,1,0,N DAK ST,N DAK ST,3,,,,,,,
125308,Kaedin Steindorf,P,0,0,,2025,250,,60.9,66.2,S41,0,1,1,5,0,0,0,4,0,0,N DAK ST,N DAK ST,9,60,,,,,,57.3
125309,Joe Stoffel,TE,0,0,,2025,250,,61.1,63.2,82,0,0,1,5,0,0,1,0,0,0,N DAK ST,N DAK ST,6,60,,,,,,
125310,Tyler Terhark,WR,0,0,,2025,250,,60.3,71.6,06,0,0,1,0,0,0,0,4,1,0,N DAK ST,N DAK ST,5,,,,,,,
125314,Grey Zabel,T,0,0,2025,2025,250,,61.5,67.8,74,0,0,1,5,0,0,0,0,0,0,N DAK ST,N DAK ST,5,60,,,,,,
128403,Garrett Walchli,WR,0,0,,2026,233,,61.5,67,18,0,0,1,0,0,5,0,0,0,0,MONTANA ST,MONTANA ST,5,,,,,,,
130383,Marcus Sheppard,CB,0,0,,2025,250,60,60.4,65.6,D10,0,0,1,0,4,0,0,0,0,0,N DAK ST,N DAK ST,4,,,,,,,
144362,Brendan Hall,P,0,0,,2025,233,,60,69.3,S93,0,0,1,0,0,6,0,2,0,0,MONTANA ST,MONTANA ST,8,,,,62.1,,,61
145677,Carson Williams,TE,0,0,,2026,250,,59.7,66.3,88,0,0,1,0,0,0,6,0,0,0,N DAK ST,N DAK ST,6,,,,,,,
146527,Alec Eckert,DI,0,0,,2026,233,58.9,58.8,65.1,D97,0,0,1,0,5,0,0,0,1,0,MONTANA ST,MONTANA ST,6,,,,,,,
147530,Dylan Rollins,G,0,0,,2028,233,,61.4,62,63,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
147659,Titan Fleischmann,T,0,0,,2027,233,,61.1,67.8,66,0,0,1,4,0,0,0,0,0,0,MONTANA ST,MONTANA ST,4,60,,,,,,
147663,Aidan Garrigan,WR,0,0,,2026,233,,60.9,65.4,85,0,0,1,0,0,5,6,0,0,0,MONTANA ST,MONTANA ST,11,,,,,,,
147664,Kenneth Eiden IV,ED,0,0,,2026,233,59.2,59.9,64,D11,0,0,1,0,5,0,0,2,1,0,MONTANA ST,MONTANA ST,8,,,,,,,
147668,Tyson Pottenger,S,0,0,,2026,233,,59.8,64.6,D20,0,0,1,0,0,0,0,2,0,0,MONTANA ST,MONTANA ST,2,,,,,,,
147676,Miles Jackson,CB,0,0,,2025,233,59.9,60.8,63.7,D06,0,0,1,0,4,1,0,0,1,0,MONTANA ST,MONTANA ST,6,,,,,,,
147677,McCade O'Reilly,LB,0,0,,2025,233,60.1,61,64.5,D43,0,0,1,0,5,1,0,0,1,0,MONTANA ST,MONTANA ST,7,,,,,,,
147681,Brody Grebe,ED,0,0,,2025,233,59.5,60.2,65.2,D41,0,0,1,0,5,0,0,0,1,0,MONTANA ST,MONTANA ST,6,,,,,,,
147683,Paul Brott,DI,0,0,,2026,233,58.9,58.8,64.4,D96,0,0,1,0,5,0,0,0,1,0,MONTANA ST,MONTANA ST,6,,,,,,,
147688,Tommy Sullivan,LS,0,0,,2025,233,,64,62.6,S71,0,0,1,4,0,0,0,2,0,0,MONTANA ST,MONTANA ST,6,60,,,,,77,
148151,Bryce Lance,WR,0,0,2026,2026,250,,53,66.8,05,0,0,1,0,0,0,1,4,0,0,N DAK ST,N DAK ST,5,,61.8,,,,,
148158,Truman Werremeyer,TE,0,0,,2026,250,,61.2,62.1,46,0,0,1,5,0,0,0,4,0,0,N DAK ST,N DAK ST,9,60,,,,,,
148162,Chris Harris,WR,0,0,,2026,250,,61.7,68,19,0,0,1,0,0,6,6,0,1,0,N DAK ST,N DAK ST,13,,,,,,,
148164,Finn Diggins,TE,0,0,,2026,250,,61.2,66.9,89,0,0,1,5,0,0,5,0,0,0,N DAK ST,N DAK ST,10,60,,,,,,
148166,Ryan Jones,S,0,0,,2026,250,60.1,61.5,66.8,D27,0,0,1,0,4,6,0,0,2,0,N DAK ST,N DAK ST,12,,,,,,,
148168,Enock Sibomana,CB,0,0,,2026,250,59.8,74.6,66.6,D14,0,0,1,0,2,0,1,3,1,1,N DAK ST,N DAK ST,7,,,,,,,
148170,Logan Kopp,LB,0,0,,2026,250,,59.5,65.6,D43,0,0,1,0,0,0,0,4,0,0,N DAK ST,N DAK ST,4,,,,,,,
148173,Kole Menz,ED,0,0,,2026,250,,60,64.8,D55,0,0,1,0,0,0,1,0,0,0,N DAK ST,N DAK ST,1,,,,,,,
148174,Kody Huisman,DI,0,0,2026,2026,250,59.6,60.3,64.9,D50,0,0,1,0,4,0,0,0,1,0,N DAK ST,N DAK ST,5,,,,,,,
148175,Jaxon Duttenhefer,DI,0,0,,2026,250,60,60.4,64.2,D64,0,0,1,0,2,0,0,4,0,0,N DAK ST,N DAK ST,6,,,,,,,
148750,Anthony Chideme-Alfaro,CB,0,0,,2026,250,60,60,64.4,D24,0,0,1,0,2,0,0,0,1,0,N DAK ST,N DAK ST,3,,,,,,,
