playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesPuntReturn,gradesKickReturn,gradesLongSnap,gradesFgepKicker,gradesKickoffKicker,gradesPunter
145062,Zen Michalski,T,0,0,,2026,190,61.5,62.2,75,0,0,1,8,0,0,0,0,0,0,INDIANA,INDIANA,8,,60,,,,,,
145090,Harrison Wallace III,WR,0,0,2026,2026,226,60,63.3,02,0,0,1,0,0,0,0,0,3,0,OLE MISS,OLE MISS,3,,,62.2,,,,,
145309,Jakobe Thomas,S,0,0,2026,2026,220,60,62.9,D08,0,0,1,0,2,1,0,0,0,0,MIAMI FL,MIAMI FL,3,60,,,,,,,
146130,Trace Bruckler,TE,0,0,,2026,226,60.9,67.4,85,0,0,1,6,0,0,0,3,0,0,OLE MISS,OLE MISS,9,,60,,,,,,
146255,Isaiah Taylor,CB,0,0,,2027,220,59.9,65.7,D28,0,0,1,0,0,0,7,0,0,0,MIAMI FL,MIAMI FL,7,,,,,,,,
146508,De'Zhaun Stribling,WR,0,0,2026,2026,226,66.3,66.5,01,0,0,1,0,0,0,0,0,2,0,OLE MISS,OLE MISS,2,,,,,,,,
146540,Charlie Pickard,C,0,0,,2026,264,41.1,65.7,70,0,0,1,3,0,0,0,3,0,0,OREGON,OREGON,6,,60,,,,,,
146559,Luke Basso,LS,0,0,2026,2026,264,64.5,63.2,S43,0,0,1,3,0,0,0,3,0,0,OREGON,OREGON,6,,60,,,79.1,,,
146619,Carter Short,LS,0,0,,2026,226,65,63,S93,0,0,1,6,0,0,0,3,0,0,OLE MISS,OLE MISS,9,,63.4,,,78.5,,,
146776,Sage Ryan,S,0,0,,2026,226,60.6,68.1,D03,0,0,1,0,0,0,6,0,0,0,OLE MISS,OLE MISS,6,,,,,,,,
146815,Jayden Williams,T,0,0,2026,2026,226,61.3,63.8,50,0,0,1,6,0,0,0,0,0,0,OLE MISS,OLE MISS,6,,60,,,,,,
147135,Mark Langston,LS,0,0,2026,2026,190,57.3,63,S47,1,0,1,8,0,0,0,3,0,0,INDIANA,INDIANA,11,,66.3,,,78.2,,,
