playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickReturn,gradesKickoffKicker
149119,Kellen Stewart,WR,0,0,,2026,270,,60,62.2,14,0,0,1,0,0,0,5,0,0,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,59.2,
150925,Frankie Dunn Jr.,CB,0,0,,2026,194,59.9,60,63.4,D19,0,0,1,0,2,0,0,0,0,0,JACKSON ST,JACKSON ST,2,,,,,,,
150948,Jeremiah Williams,DI,0,0,,2026,194,58.7,58.7,63.1,D00,0,0,1,0,4,0,0,0,0,0,JACKSON ST,JACKSON ST,4,,,,,,,
151504,Gerardo Baeza,K,0,0,,2026,194,,60,64.5,S38,0,0,1,4,0,1,0,0,0,0,JACKSON ST,JACKSON ST,5,,,,,61.8,,60.1
152248,Kamren Amao,S,0,0,,2026,270,60,59.7,63.7,D23,0,0,1,0,4,0,0,2,0,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
153996,Cameron Franklin,S,0,0,,2027,270,,66.5,70.6,D13,0,0,1,0,0,6,5,0,5,1,PRVIEW A&M,PRVIEW A&M,16,,,,,,,
156342,Khamauri Rogers,CB,0,0,,2027,194,60,60.5,65.9,D01,0,0,1,0,3,0,0,0,1,0,JACKSON ST,JACKSON ST,4,,,,,,,
156611,Isaiah Villanueva,G,0,0,,2027,194,,60.6,61.7,72,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
157367,Jeremiah Aaron,WR,0,0,,2026,270,,62.3,66.7,82,0,0,1,0,0,0,0,0,5,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,,
160146,Travon Jones,TE,0,0,,2027,270,,61.1,65.8,08,0,0,1,6,0,0,5,0,0,0,PRVIEW A&M,PRVIEW A&M,11,60,,,,,,
160262,Kanye Varner,ED,0,0,,2026,194,59.6,60.2,63.6,D18,0,0,1,0,3,0,0,0,1,0,JACKSON ST,JACKSON ST,4,,,,,,,
160340,Molik Mason,ED,0,0,,2028,270,59.5,61,65.1,D92,0,0,1,6,3,0,0,0,2,0,PRVIEW A&M,PRVIEW A&M,11,60,,,,,,
160768,Emari Matthews,HB,0,0,,2027,194,,41.3,66.8,30,1,0,1,0,0,0,6,7,0,0,JACKSON ST,JACKSON ST,13,,,,,,,
161685,Ashton Taylor,LB,0,0,,2027,194,59.9,60.8,66.7,D03,0,0,1,0,6,0,0,0,1,0,JACKSON ST,JACKSON ST,7,,,,,,,
163238,Kheagian Heckaman,TE,0,0,,2028,270,,60.8,64.9,33,0,0,1,0,0,0,5,0,0,0,PRVIEW A&M,PRVIEW A&M,5,,,,,,,
163290,Ellis Bynum,HB,0,0,,2028,270,,60.4,69.1,32,0,0,1,0,0,6,5,0,5,0,PRVIEW A&M,PRVIEW A&M,16,,,,,,,
163526,Jabarrek Hopkins,DI,0,0,,2026,270,59.7,59.6,64.3,D90,0,0,1,0,3,0,0,0,1,0,PRVIEW A&M,PRVIEW A&M,4,,,,,,,
