playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPassRoute
158484,Jaylon Glover,HB,0,,2028,325,,60,70,,,60,20,0,1,0,2,3,0,1,6,5,1,UNLV,UNLV,74.2,58.1
158659,Chris Marshall,WR,0,,2027,120,61,58.9,75.3,,,61.2,05,0,1,0,0,20,0,6,26,20,6,BOISE ST,BOISE ST,,58.5
158678,Noah Thomas,WR,0,2026,2026,173,,59.5,64.1,,,,05,0,1,0,0,1,0,0,1,1,0,GEORGIA,GEORGIA,,60
158693,Drew Evans,G,0,,2027,190,,69.9,79.4,,,71.1,62,0,1,0,28,0,0,31,59,28,31,INDIANA,INDIANA,58.1,
159333,Cooper Barkate,WR,1,,2027,154,65.7,70.5,0,,,60.7,18,1,1,0,0,29,0,33,62,29,33,DUKE,DUKE,,72.5
159499,Elijah Sarratt,WR,0,2026,2026,190,64.1,70.8,76.9,,,59.3,13,0,1,0,0,27,0,27,54,27,27,INDIANA,INDIANA,,70.6
160369,Davis Bryson,WR,0,,2027,200,19,57.3,77.4,,57.6,60.5,09,0,1,0,0,31,1,12,44,31,13,KENNESAW,KENNESAW,,58.3
160451,Jaylan Sanchez,WR,0,,2026,197,62.9,45.1,76.2,,,59.1,00,0,1,0,0,14,0,27,41,14,27,JAMES MAD,JAMES MAD,,44.7
162467,Carsen Ryan,TE,0,2026,2026,128,62.9,56.2,78,,,58.2,20,0,1,0,3,28,0,22,53,31,22,BYU,BYU,28.9,57.3
162482,Parker Brailsford,C,0,2026,2026,103,,57.5,79,,,52.1,72,0,1,0,45,0,0,12,57,45,12,ALABAMA,ALABAMA,66,
162694,Matt Craycraft,C,0,,2027,154,,55.5,79.7,,,56,72,0,1,0,30,0,0,39,69,30,39,DUKE,DUKE,53.1,
162696,Jeremiah Hasley,TE,0,,2027,154,64.1,59.1,77.2,,,49.5,85,1,1,0,3,24,0,39,66,27,39,DUKE,DUKE,71.6,67.1
