playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesCoverageDefense
128304,Vai Kaho,LB,0,0,,0,1,,MONTANA,0,D00,22,21,0,6,1,2025,12,22.5,0,0,0,0,8,0,0,0,60.6,0,0,0,0,MONTANA,0,0,0,0,,1,50,54.6,,76.1,0,232,34,0,0,0,0,20,0,1,56.1,0,0,12,51.6
129553,Isaac Dowling,LB,3,0,,0,0,66.7,MERCER,4,D03,44,38,0,4,1,2025,3,83.8,5,2,0,0,27,0,0,0,84.3,0,0,1,0,MERCER,1,0,0,0,5,6,0,74.8,2.5,0,0,219,47,4,0,0,70.1,16,0,5,67.2,0,0,3,67.5
129562,TJ Moore,CB,5,0,2025,0,0,20,MERCER,3,D08,56,16,0,2,1,2025,0,79.5,6,1,0,0,33,0,0,0,69.4,40,0,0,0,MERCER,2,0,0,0,6,0,0,72.6,6,74.3,0,219,56,2,0,1,39.6,21,1,1,56.5,0,0,0,72.2
129565,Jordan Swain,DI,0,0,,0,0,,MERCER,1,D91,0,0,0,25,1,2026,36,70.2,0,0,2,0,1,0,0,0,64.8,0,0,0,0,MERCER,1,0,2,0,,0,0,64.5,,75.1,0,219,36,0,36,0,0,10,0,0,63.4,0,0,0,59.4
129621,Devin Hightower,LB,1,0,,0,0,100,RHODE ISLD,8,D02,56,51,1,7,1,2027,1,84.8,1,1,2,0,17,0,0,0,75.2,0,0,0,0,RHODE ISLD,4,0,3,0,1,5,0,79.1,1,76.5,0,274,57,1,0,0,79.2,33,0,1,68.2,0,0,1,71.4
129719,Jordan Butler,DI,0,0,,0,0,,ABILENE CH,0,D52,0,0,0,1,1,2025,5,70.2,0,0,0,0,0,0,0,0,61.7,0,0,0,0,ABILENE CH,0,0,0,0,,0,0,64.5,,69.1,0,100,5,0,5,0,0,4,0,1,60,0,0,0,
130297,Ronald Jackson Jr.,CB,2,0,,0,0,100,MONTANA,1,D02,38,8,0,0,1,2027,0,73.5,18,2,0,0,14,0,0,1,69.1,30,0,0,0,MONTANA,0,0,0,0,10,0,0,64.8,9,73.9,0,232,38,9,0,0,104.2,24,0,0,,0,0,0,61.5
130383,Marcus Sheppard,CB,2,0,,0,0,50,N DAK ST,1,D10,25,0,0,0,1,2025,0,73.5,8,1,0,0,19,0,0,0,60,25,0,0,0,N DAK ST,0,0,0,0,8,0,0,74.8,8,74.6,0,250,25,2,0,0,60.4,6,0,0,,0,0,0,74.5
131628,Will Shaffer,LB,2,0,,0,3,50,ABILENE CH,6,D01,57,55,0,3,1,2026,3,29.9,13,1,0,0,27,0,0,0,64,0,0,0,0,ABILENE CH,5,0,0,0,13,2,30,59.9,13,78.1,0,100,60,12,0,0,70.8,30,2,1,66.1,0,0,3,53.8
131658,Tyson McWilliams,CB,1,0,,0,0,0,UC DAVIS,0,D11,29,0,0,0,1,2025,0,,0,0,0,0,24,0,0,0,60,27,0,0,0,UC DAVIS,0,0,0,0,,1,,68,,74.3,0,322,29,0,0,0,39.6,5,0,0,,0,0,0,67.7
131680,Devin Grant,ED,0,0,,0,0,,INCAR WORD,0,D44,1,1,1,21,1,2026,27,71.5,0,0,0,0,0,11,0,0,69.8,0,0,1,0,INCAR WORD,1,0,1,0,,0,,57.8,,0,0,189,28,0,4,0,0,7,0,0,58.7,0,0,12,
131861,Kenzel Lawler,CB,0,0,,0,0,,MONTANA,0,D08,9,2,0,0,1,2026,0,74.2,0,0,0,0,1,0,0,0,63.9,7,0,0,0,MONTANA,0,0,0,0,,0,0,64,,69.7,0,232,9,0,0,0,0,8,0,1,,0,0,0,60
136904,Robert Rios,DI,0,0,,0,0,,TARLETON,2,D52,0,0,0,8,1,2026,20,72.2,0,0,0,0,0,4,0,0,43.6,0,0,0,0,TARLETON,1,0,0,0,,0,0,43.3,,73.1,0,401,20,0,15,0,0,12,0,0,55.8,0,0,1,
136912,Devin Sterling,LB,2,0,,0,1,100,TARLETON,2,D12,36,33,0,2,1,2026,3,57.7,26,2,0,0,12,0,0,0,38.6,0,0,0,0,TARLETON,1,0,0,0,15,2,25,39.3,13,75.9,0,401,39,10,0,0,118.8,25,0,1,58.2,1,0,3,50.6
138147,Oshae Baker,S,1,0,,0,4,100,TENN MARTN,4,D00,58,23,0,0,1,2025,0,27,7,1,0,0,32,0,0,0,43.8,0,0,1,0,TENN MARTN,1,0,0,0,7,27,50,47.5,7,78.9,0,310,58,6,0,0,95.8,26,0,0,,8,0,0,50.6
138188,Shamari Weir,LB,0,0,,0,0,,TENN MARTN,0,D36,2,2,0,0,1,2026,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,TENN MARTN,0,0,0,0,,0,,60,,66,0,310,2,0,0,0,0,2,0,0,,0,0,0,
138192,LaVoise-Deontae McCoy,LB,9,0,,0,3,77.8,ILL STATE,10,D01,75,75,0,7,1,2026,0,43.5,135,7,0,0,29,0,0,0,83.1,0,0,0,0,ILL STATE,5,0,0,0,64,0,21.4,55.4,19.3,77.3,0,188,75,107,0,1,155.8,39,0,1,61.1,0,1,0,30.2
138206,Dillon Gearhart,S,3,0,,0,0,100,ILL STATE,7,D16,67,44,0,3,1,2025,3,84,32,3,0,0,33,0,0,0,61,0,0,0,0,ILL STATE,2,0,0,0,25,12,0,61.2,10.7,76.9,0,188,70,4,0,0,111.1,34,0,1,57,11,0,3,61.4
138208,Keondre Jackson,S,2,0,2025,0,0,100,ILL STATE,7,D03,68,26,0,2,1,2025,2,87.2,28,2,0,0,34,0,0,0,68.6,0,0,1,0,ILL STATE,1,0,0,0,18,6,0,63.6,14,78.1,0,188,70,7,0,1,158.3,34,1,3,58.7,36,1,2,60.3
