playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap
172953,Branon Jackson,T,0,0,,2026,189,,60,60.5,63.2,78,0,0,1,3,0,0,0,0,0,0,INCAR WORD,INCAR WORD,3,,,,,,
172956,Lawson Petty,G,0,0,,2028,189,,60,60.4,62.5,76,0,0,1,3,0,0,0,0,0,0,INCAR WORD,INCAR WORD,3,,,,,,
172959,Kendrick Stone,S,0,0,,2026,189,60,,61.4,64.4,D07,0,0,1,0,1,4,0,0,1,0,INCAR WORD,INCAR WORD,6,,,,,,
172960,James Tuayemie,CB,0,0,,2026,189,59.8,,60.3,65.5,D02,0,0,1,0,2,0,0,0,1,0,INCAR WORD,INCAR WORD,3,,,,,,
173929,Keyshawn Johnson,ED,0,0,,2028,310,60.1,,60.2,64.4,D19,0,0,1,0,2,0,0,0,0,0,TENN MARTN,TENN MARTN,2,,,,,,
174410,Jaylin Crumby,S,0,0,,2029,250,60,,62.8,67.4,D04,0,0,1,0,1,10,0,0,0,0,N DAK ST,N DAK ST,11,,,,,,
174412,Jailen Duffie,CB,0,0,,2028,250,60,,60.6,65.8,D17,0,0,1,0,5,0,0,0,0,0,N DAK ST,N DAK ST,5,,,,,,
174413,Marcus Gulley,LB,0,0,,2025,250,59.8,,61.9,69.2,D00,0,0,1,0,5,8,5,3,1,0,N DAK ST,N DAK ST,22,,,,,,
174424,Najee Nelson,CB,0,0,,2029,250,,,60.3,66.2,D13,0,0,1,0,0,2,0,0,0,0,N DAK ST,N DAK ST,2,,,,,,
174425,Eli Ozick,K,0,0,,2028,250,,,60.2,70.4,S38,0,0,1,0,0,10,0,0,0,0,N DAK ST,N DAK ST,10,,,,,74.2,
174431,Noah Taylor,CB,0,0,,2029,250,,,62,67.6,D21,0,0,1,0,0,10,6,0,2,0,N DAK ST,N DAK ST,18,,,,,,
174434,Keenan Wilson,DI,0,0,,2029,250,59.6,,59.8,62,D58,0,0,1,0,1,0,0,0,0,0,N DAK ST,N DAK ST,1,,,,,,
