playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter,gradesPuntReturn
203150,Jaylen Boehm-Peterson,CB,0,0,,2029,291,60.8,67.2,D04,0,0,1,0,0,0,9,0,2,0,S DAKOTA,S DAKOTA,11,,,,,,,,
203151,Brayden White,WR,0,0,,2030,291,60.1,64.5,85,0,0,1,0,0,0,9,0,2,0,S DAKOTA,S DAKOTA,11,,,53.9,,,,,
203152,Cain Wallner,LB,0,0,,2030,291,69.2,69.5,D54,0,0,1,0,0,4,0,0,2,1,S DAKOTA,S DAKOTA,6,,,,,,,,
203154,Jackson Accuardi,TE,0,0,,2030,291,60.2,67.6,84,0,0,1,0,0,0,9,0,0,0,S DAKOTA,S DAKOTA,9,,,,,,,,
203162,Jaden Brown,S,0,0,,2030,291,76.7,68.8,D21,0,0,1,0,0,4,0,4,2,1,S DAKOTA,S DAKOTA,10,,,,,,,,
203163,Carson Fletcher,HB,0,0,,2030,291,59.3,66.6,33,0,0,1,0,0,0,9,0,0,0,S DAKOTA,S DAKOTA,9,,,,,,,,
203394,Brenden Toppin,S,0,0,,2030,334,64,72.1,D28,0,0,1,0,0,6,0,0,5,0,VILLANOVA,VILLANOVA,11,,,,,,,,
203400,Braden Reed,WR,0,0,,2030,334,60,63.9,83,0,0,1,0,0,0,0,0,5,0,VILLANOVA,VILLANOVA,5,,,,,,,,65
203512,Jadan Aubert,S,0,0,,2028,401,61.6,67.6,D15,0,0,1,0,2,3,0,0,3,0,TARLETON,TARLETON,8,59.9,,,,,,,
203519,Matt Freeman,ED,0,0,,2027,401,60.5,60.4,D18,0,0,1,3,0,0,0,0,0,0,TARLETON,TARLETON,3,,60,,,,,,
203525,Brad Larson,K,0,0,,2026,401,60,62.9,S46,0,0,1,3,0,0,0,0,0,0,TARLETON,TARLETON,3,,,,61.8,,,,
203534,James Turrentine,DI,0,0,,2026,401,60.8,65.4,D97,0,0,1,0,1,0,0,0,2,0,TARLETON,TARLETON,3,59.6,,,,,,,
203538,Stephen Woods Jr.,S,0,0,,2027,401,60.9,64.8,D27,0,0,1,0,2,0,0,0,3,0,TARLETON,TARLETON,5,60,,,,,,,
206195,Jaiydyn Johnson,CB,0,0,,2030,301,60.1,62.5,D37,0,0,1,0,8,0,0,0,0,0,STF AUSTIN,STF AUSTIN,8,59.9,,,,,,,
206196,Cam Brooks,S,0,0,,2030,301,61.3,67.8,D27,0,0,1,0,0,5,9,0,0,0,STF AUSTIN,STF AUSTIN,14,,,,,,,,
212485,Mason Walsh,HB,0,0,,2030,322,32.5,63.6,38,0,0,1,0,0,4,0,0,0,0,UC DAVIS,UC DAVIS,4,,,,,,,,
