playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesPassRoute,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock
146559,Luke Basso,LS,0,2026,2026,264,,60,65.1,,,,,S43,0,1,0,1,0,0,0,1,1,0,OREGON,OREGON,67.6
146598,Jaeden Roberts,G,0,2026,2026,103,,48.9,70.1,,,,54.4,77,0,1,0,2,0,0,3,5,2,3,ALABAMA,ALABAMA,0
146810,Joshua Pfeifer,WR,0,,2026,226,,58.1,68.5,,59.5,,59.6,82,0,1,0,0,1,0,4,5,1,4,OLE MISS,OLE MISS,
146815,Jayden Williams,T,0,2026,2026,226,,74.9,76.2,,,,68.7,50,0,1,0,37,0,0,22,59,37,22,OLE MISS,OLE MISS,81.9
146990,Dametrious Crownover,T,0,2026,2026,312,,37.5,76,,,,47.4,78,0,1,0,37,0,0,17,54,37,17,TEXAS A&M,TEXAS A&M,18.6
146991,Amari Daniels,HB,0,,2026,312,,60,66,,,,,05,0,1,0,2,0,0,0,2,2,0,TEXAS A&M,TEXAS A&M,76
146992,Reuben Fatheree II,T,0,,2026,312,,50.7,73.2,,,,60.1,76,0,1,0,18,0,0,6,24,18,6,TEXAS A&M,TEXAS A&M,31.1
147009,Albert Regis,DI,0,2026,2026,312,,60,60,,,,,D17,0,1,0,1,0,0,0,1,1,0,TEXAS A&M,TEXAS A&M,63.8
147019,Trey Zuhn III,T,1,2026,2026,312,,65.3,22.6,,,,60.7,60,1,1,0,52,0,0,22,74,52,22,TEXAS A&M,TEXAS A&M,82.6
147143,Dre Washington,HB,0,,2026,103,,60,63.5,,60,,,20,0,1,0,0,1,0,0,1,1,0,ALABAMA,ALABAMA,
147252,Damien Taylor,HB,0,,2026,226,68.6,74.8,70.8,,60,72.8,59.4,12,0,1,0,2,1,4,3,10,3,7,OLE MISS,OLE MISS,73.6
147370,Keelan Marion,WR,0,2026,2026,220,66.9,68.6,76.3,,66.5,57.5,86,00,0,1,0,0,22,1,18,41,22,19,MIAMI FL,MIAMI FL,
147475,Logan Diggs,HB,0,,2026,226,69.2,78.8,73.4,,78.7,73.9,60,22,0,1,0,2,9,4,1,16,11,5,OLE MISS,OLE MISS,33.8
